"TIME","GEO","SPECIES","PRES","DEST","UNIT","NATVESSR","Value","Flag and Footnotes"
"1997","Finland","European plaice - Pleuronectes platessa","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1997","Finland","European whitefish - Coregonus lavaretus","All presentation forms","Human consumption","Euro","Total","2,488,636",""
"1997","Finland","European whitefish - Coregonus lavaretus","All presentation forms","Human consumption","Tonnes product weight","Total","1,073",""
"1997","Finland","European whitefish - Coregonus lavaretus","All presentation forms","Human consumption","Euro/Tonne","Total","2,320",""
"1997","Finland","Atlantic salmon - Salmo salar","All presentation forms","Human consumption","Euro","Total","1,908,262",""
"1997","Finland","Atlantic salmon - Salmo salar","All presentation forms","Human consumption","Tonnes product weight","Total","811",""
"1997","Finland","Atlantic salmon - Salmo salar","All presentation forms","Human consumption","Euro/Tonne","Total","2,354",""
"1997","Finland","European smelt - Osmerus eperlanus","All presentation forms","Human consumption","Euro","Total",":",""
"1997","Finland","European smelt - Osmerus eperlanus","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1997","Finland","European smelt - Osmerus eperlanus","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1997","Finland","European sprat - Sprattus sprattus","All presentation forms","Human consumption","Euro","Total","1,674,726",""
"1997","Finland","European sprat - Sprattus sprattus","All presentation forms","Human consumption","Tonnes product weight","Total","6,002",""
"1997","Finland","European sprat - Sprattus sprattus","All presentation forms","Human consumption","Euro/Tonne","Total","279",""
"1997","Finland","Rainbow trout - Oncorhynchus mykiss","All presentation forms","Human consumption","Euro","Total",":",""
"1997","Finland","Rainbow trout - Oncorhynchus mykiss","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1997","Finland","Rainbow trout - Oncorhynchus mykiss","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1997","Finland","Sea trout - Salmo trutta","All presentation forms","Human consumption","Euro","Total",":",""
"1997","Finland","Sea trout - Salmo trutta","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1997","Finland","Sea trout - Salmo trutta","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1998","Finland","Total fishery products","All presentation forms","Human consumption","Euro","Total","15,119,456",""
"1998","Finland","Total fishery products","All presentation forms","Human consumption","Tonnes product weight","Total","28,199",""
"1998","Finland","Total fishery products","All presentation forms","Human consumption","Euro/Tonne","Total","536",""
"1998","Finland","Aquatic animals","All presentation forms","Human consumption","Euro","Total","15,119,456",""
"1998","Finland","Aquatic animals","All presentation forms","Human consumption","Tonnes product weight","Total","28,199",""
"1998","Finland","Aquatic animals","All presentation forms","Human consumption","Euro/Tonne","Total","536",""
"1998","Finland","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro","Total","6,734,161",""
"1998","Finland","Freshwater and diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Total","3,116",""
"1998","Finland","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Total","2,162",""
"1998","Finland","Finfish","All presentation forms","Human consumption","Euro","Total","15,119,456",""
"1998","Finland","Finfish","All presentation forms","Human consumption","Tonnes product weight","Total","28,199",""
"1998","Finland","Finfish","All presentation forms","Human consumption","Euro/Tonne","Total","536",""
"1998","Finland","Finfish and invertebrates","All presentation forms","Human consumption","Euro","Total","15,119,456",""
"1998","Finland","Finfish and invertebrates","All presentation forms","Human consumption","Tonnes product weight","Total","28,199",""
"1998","Finland","Finfish and invertebrates","All presentation forms","Human consumption","Euro/Tonne","Total","536",""
"1998","Finland","Freshwater fishes","All presentation forms","Human consumption","Euro","Total","2,085,870",""
"1998","Finland","Freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","Total","1,215",""
"1998","Finland","Freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","Total","1,717",""
"1998","Finland","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Euro","Total",":",""
"1998","Finland","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1998","Finland","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1998","Finland","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Euro","Total","2,085,870",""
"1998","Finland","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","Total","1,215",""
"1998","Finland","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","Total","1,717",""
"1998","Finland","Diadromous fishes","All presentation forms","Human consumption","Euro","Total","4,648,291",""
"1998","Finland","Diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Total","1,901",""
"1998","Finland","Diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Total","2,446",""
"1998","Finland","River eels","All presentation forms","Human consumption","Euro","Total",":",""
"1998","Finland","River eels","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1998","Finland","River eels","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1998","Finland","Salmons, trouts, smelts","All presentation forms","Human consumption","Euro","Total","4,648,291",""
"1998","Finland","Salmons, trouts, smelts","All presentation forms","Human consumption","Tonnes product weight","Total","1,901",""
"1998","Finland","Salmons, trouts, smelts","All presentation forms","Human consumption","Euro/Tonne","Total","2,446",""
"1998","Finland","Marine fishes","All presentation forms","Human consumption","Euro","Total","8,385,295",""
"1998","Finland","Marine fishes","All presentation forms","Human consumption","Tonnes product weight","Total","25,084",""
"1998","Finland","Marine fishes","All presentation forms","Human consumption","Euro/Tonne","Total","334",""
"1998","Finland","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro","Total",":",""
"1998","Finland","Flounders, halibuts, soles","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1998","Finland","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1998","Finland","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro","Total","418,425",""
"1998","Finland","Cods, hakes, haddocks","All presentation forms","Human consumption","Tonnes product weight","Total","290",""
"1998","Finland","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro/Tonne","Total","1,445",""
"1998","Finland","Herrings, sardines, anchovies","All presentation forms","Human consumption","Euro","Total","5,908,163",""
"1998","Finland","Herrings, sardines, anchovies","All presentation forms","Human consumption","Tonnes product weight","Total","23,292",""
"1998","Finland","Herrings, sardines, anchovies","All presentation forms","Human consumption","Euro/Tonne","Total","254",""
"1998","Finland","Marine fishes not identified","All presentation forms","Human consumption","Euro","Total","2,058,706",""
"1998","Finland","Marine fishes not identified","All presentation forms","Human consumption","Tonnes product weight","Total","1,502",""
"1998","Finland","Marine fishes not identified","All presentation forms","Human consumption","Euro/Tonne","Total","1,371",""
"1998","Finland","Northern cods nei - Gadus spp","All presentation forms","Human consumption","Euro","Total","418,425",""
"1998","Finland","Northern cods nei - Gadus spp","All presentation forms","Human consumption","Tonnes product weight","Total","290",""
"1998","Finland","Northern cods nei - Gadus spp","All presentation forms","Human consumption","Euro/Tonne","Total","1,445",""
"1998","Finland","Atlantic cod - Gadus morhua","All presentation forms","Human consumption","Euro","Total",":",""
"1998","Finland","Atlantic cod - Gadus morhua","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1998","Finland","Atlantic cod - Gadus morhua","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1998","Finland","European eel - Anguilla anguilla","All presentation forms","Human consumption","Euro","Total",":",""
"1998","Finland","European eel - Anguilla anguilla","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1998","Finland","European eel - Anguilla anguilla","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1998","Finland","Freshwater bream - Abramis brama","All presentation forms","Human consumption","Euro","Total",":",""
"1998","Finland","Freshwater bream - Abramis brama","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1998","Finland","Freshwater bream - Abramis brama","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1998","Finland","Burbot - Lota lota","All presentation forms","Human consumption","Euro","Total",":",""
"1998","Finland","Burbot - Lota lota","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1998","Finland","Burbot - Lota lota","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1998","Finland","Orfe (=Ide) - Leuciscus idus","All presentation forms","Human consumption","Euro","Total",":",""
"1998","Finland","Orfe (=Ide) - Leuciscus idus","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1998","Finland","Orfe (=Ide) - Leuciscus idus","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1998","Finland","Finfishes nei - Osteichthyes","All presentation forms","Human consumption","Euro","Total","2,058,706",""
"1998","Finland","Finfishes nei - Osteichthyes","All presentation forms","Human consumption","Tonnes product weight","Total","1,502",""
"1998","Finland","Finfishes nei - Osteichthyes","All presentation forms","Human consumption","Euro/Tonne","Total","1,371",""
"1998","Finland","European flounder - Platichthys flesus","All presentation forms","Human consumption","Euro","Total",":",""
"1998","Finland","European flounder - Platichthys flesus","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1998","Finland","European flounder - Platichthys flesus","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1998","Finland","European perch - Perca fluviatilis","All presentation forms","Human consumption","Euro","Total","589,782",""
"1998","Finland","European perch - Perca fluviatilis","All presentation forms","Human consumption","Tonnes product weight","Total","728",""
"1998","Finland","European perch - Perca fluviatilis","All presentation forms","Human consumption","Euro/Tonne","Total","810",""
"1998","Finland","Northern pike - Esox lucius","All presentation forms","Human consumption","Euro","Total",":",""
"1998","Finland","Northern pike - Esox lucius","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1998","Finland","Northern pike - Esox lucius","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1998","Finland","Pike-perch - Stizostedion lucioperca","All presentation forms","Human consumption","Euro","Total","1,496,088",""
"1998","Finland","Pike-perch - Stizostedion lucioperca","All presentation forms","Human consumption","Tonnes product weight","Total","487",""
"1998","Finland","Pike-perch - Stizostedion lucioperca","All presentation forms","Human consumption","Euro/Tonne","Total","3,074",""
"1998","Finland","Roach - Rutilus rutilus","All presentation forms","Human consumption","Euro","Total",":",""
"1998","Finland","Roach - Rutilus rutilus","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1998","Finland","Roach - Rutilus rutilus","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1998","Finland","Vendace - Coregonus albula","All presentation forms","Human consumption","Euro","Total",":",""
"1998","Finland","Vendace - Coregonus albula","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1998","Finland","Vendace - Coregonus albula","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1998","Finland","Atlantic herring - Clupea harengus","All presentation forms","Human consumption","Euro","Total","5,895,198",""
"1998","Finland","Atlantic herring - Clupea harengus","All presentation forms","Human consumption","Tonnes product weight","Total","23,134",""
"1998","Finland","Atlantic herring - Clupea harengus","All presentation forms","Human consumption","Euro/Tonne","Total","255",""
"1998","Finland","European plaice - Pleuronectes platessa","All presentation forms","Human consumption","Euro","Total",":",""
"1998","Finland","European plaice - Pleuronectes platessa","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1998","Finland","European plaice - Pleuronectes platessa","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1998","Finland","European whitefish - Coregonus lavaretus","All presentation forms","Human consumption","Euro","Total","3,052,337",""
"1998","Finland","European whitefish - Coregonus lavaretus","All presentation forms","Human consumption","Tonnes product weight","Total","1,319",""
"1998","Finland","European whitefish - Coregonus lavaretus","All presentation forms","Human consumption","Euro/Tonne","Total","2,313",""
"1998","Finland","Atlantic salmon - Salmo salar","All presentation forms","Human consumption","Euro","Total","1,595,954",""
"1998","Finland","Atlantic salmon - Salmo salar","All presentation forms","Human consumption","Tonnes product weight","Total","581",""
"1998","Finland","Atlantic salmon - Salmo salar","All presentation forms","Human consumption","Euro/Tonne","Total","2,745",""
"1998","Finland","European smelt - Osmerus eperlanus","All presentation forms","Human consumption","Euro","Total",":",""
"1998","Finland","European smelt - Osmerus eperlanus","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1998","Finland","European smelt - Osmerus eperlanus","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1998","Finland","European sprat - Sprattus sprattus","All presentation forms","Human consumption","Euro","Total","12,966",""
"1998","Finland","European sprat - Sprattus sprattus","All presentation forms","Human consumption","Tonnes product weight","Total","158",""
"1998","Finland","European sprat - Sprattus sprattus","All presentation forms","Human consumption","Euro/Tonne","Total","82",""
"1998","Finland","Rainbow trout - Oncorhynchus mykiss","All presentation forms","Human consumption","Euro","Total",":",""
"1998","Finland","Rainbow trout - Oncorhynchus mykiss","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1998","Finland","Rainbow trout - Oncorhynchus mykiss","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1998","Finland","Sea trout - Salmo trutta","All presentation forms","Human consumption","Euro","Total",":",""
"1998","Finland","Sea trout - Salmo trutta","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1998","Finland","Sea trout - Salmo trutta","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1999","Finland","Total fishery products","All presentation forms","Human consumption","Euro","Total","15,838,300",""
"1999","Finland","Total fishery products","All presentation forms","Human consumption","Tonnes product weight","Total","24,866",""
"1999","Finland","Total fishery products","All presentation forms","Human consumption","Euro/Tonne","Total","637",""
"1999","Finland","Aquatic animals","All presentation forms","Human consumption","Euro","Total","15,838,300",""
"1999","Finland","Aquatic animals","All presentation forms","Human consumption","Tonnes product weight","Total","24,866",""
"1999","Finland","Aquatic animals","All presentation forms","Human consumption","Euro/Tonne","Total","637",""
"1999","Finland","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro","Total","6,050,585",""
"1999","Finland","Freshwater and diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Total","2,749",""
"1999","Finland","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Total","2,201",""
"1999","Finland","Finfish","All presentation forms","Human consumption","Euro","Total","15,838,300",""
"1999","Finland","Finfish","All presentation forms","Human consumption","Tonnes product weight","Total","24,866",""
"1999","Finland","Finfish","All presentation forms","Human consumption","Euro/Tonne","Total","637",""
"1999","Finland","Finfish and invertebrates","All presentation forms","Human consumption","Euro","Total","15,838,300",""
"1999","Finland","Finfish and invertebrates","All presentation forms","Human consumption","Tonnes product weight","Total","24,866",""
"1999","Finland","Finfish and invertebrates","All presentation forms","Human consumption","Euro/Tonne","Total","637",""
"1999","Finland","Freshwater fishes","All presentation forms","Human consumption","Euro","Total","2,103,733",""
"1999","Finland","Freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","Total","1,249",""
"1999","Finland","Freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","Total","1,685",""
"1999","Finland","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Euro","Total",":",""
"1999","Finland","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1999","Finland","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1999","Finland","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Euro","Total","2,103,733",""
"1999","Finland","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","Total","1,249",""
"1999","Finland","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","Total","1,685",""
"1999","Finland","Diadromous fishes","All presentation forms","Human consumption","Euro","Total","3,946,852",""
"1999","Finland","Diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Total","1,500",""
"1999","Finland","Diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Total","2,631",""
"1999","Finland","River eels","All presentation forms","Human consumption","Euro","Total",":",""
"1999","Finland","River eels","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1999","Finland","River eels","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1999","Finland","Salmons, trouts, smelts","All presentation forms","Human consumption","Euro","Total","3,946,852",""
"1999","Finland","Salmons, trouts, smelts","All presentation forms","Human consumption","Tonnes product weight","Total","1,500",""
"1999","Finland","Salmons, trouts, smelts","All presentation forms","Human consumption","Euro/Tonne","Total","2,631",""
"1999","Finland","Marine fishes","All presentation forms","Human consumption","Euro","Total","9,787,715",""
"1999","Finland","Marine fishes","All presentation forms","Human consumption","Tonnes product weight","Total","22,118",""
"1999","Finland","Marine fishes","All presentation forms","Human consumption","Euro/Tonne","Total","443",""
"1999","Finland","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro","Total",":",""
"1999","Finland","Flounders, halibuts, soles","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1999","Finland","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1999","Finland","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro","Total",":",""
"1999","Finland","Cods, hakes, haddocks","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1999","Finland","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1999","Finland","Herrings, sardines, anchovies","All presentation forms","Human consumption","Euro","Total","4,660,800",""
"1999","Finland","Herrings, sardines, anchovies","All presentation forms","Human consumption","Tonnes product weight","Total","20,317",""
"1999","Finland","Herrings, sardines, anchovies","All presentation forms","Human consumption","Euro/Tonne","Total","229",""
"1999","Finland","Marine fishes not identified","All presentation forms","Human consumption","Euro","Total","5,126,915",""
"1999","Finland","Marine fishes not identified","All presentation forms","Human consumption","Tonnes product weight","Total","1,801",""
"1999","Finland","Marine fishes not identified","All presentation forms","Human consumption","Euro/Tonne","Total","2,847",""
"1999","Finland","Northern cods nei - Gadus spp","All presentation forms","Human consumption","Euro","Total",":",""
"1999","Finland","Northern cods nei - Gadus spp","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1999","Finland","Northern cods nei - Gadus spp","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1999","Finland","Atlantic cod - Gadus morhua","All presentation forms","Human consumption","Euro","Total",":",""
"1999","Finland","Atlantic cod - Gadus morhua","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1999","Finland","Atlantic cod - Gadus morhua","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1999","Finland","European eel - Anguilla anguilla","All presentation forms","Human consumption","Euro","Total",":",""
"1999","Finland","European eel - Anguilla anguilla","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1999","Finland","European eel - Anguilla anguilla","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1999","Finland","Freshwater bream - Abramis brama","All presentation forms","Human consumption","Euro","Total",":",""
"1999","Finland","Freshwater bream - Abramis brama","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
