"Year","Species","Metric.Tons","Pounds","LandedValue"
1950,"MOJARRAS",242.2,533900,27337
1950,"MOONEYES",2.8,6200,249
1950,"MULLET, STRIPED (LIZA)",15886.6,35023700,3631214
1950,"MUSSEL, BLUE",345.1,760800,70783
1950,"MUSSEL, CALIFORNIA",0.1,300,109
1950,"OCTOPUS",43.8,96500,5728
1950,"OYSTER, EASTERN",30931.7,68192100,27391974
1950,"OYSTER, OLYMPIA",64.9,143100,203120
1950,"OYSTER, PACIFIC",3664.9,8079700,2001417
1950,"PADDLEFISH",21.2,46800,6242
1950,"PERCH, WHITE",1179.3,2599800,218901
1950,"PERCH, YELLOW",2083.3,4592900,797372
1950,"PERIWINKLES",1.5,3200,1035
1950,"PERMIT",5.3,11600,630
1950,"PIGFISH",146.1,322100,12107
1950,"PIKE, BLUE",2324.3,5124200,1045612
1950,"PIKES",64.3,141800,15885
1950,"PINFISH",208.5,459700,3526
1950,"POLLOCK",11634,25648400,830222
1950,"POMPANO, FLORIDA",383.5,845400,458962
1950,"POMPANO, PACIFIC",83.3,183700,47698
1950,"PORKFISH",0.3,700,35
1950,"PUFFER, NOTHERN",740.2,1631800,76310
1950,"QUILLBACK",0.9,1900,40
1950,"RATFISH SPOTTED",236.3,521000,5209
1950,"REDFISH, ACADIAN",94254.3,207793000,9137318
1950,"ROCK BASSES, PACIFIC",92,202800,28477
1950,"ROCKFISHES",12049.1,26563428,1113855
1950,"RUNNER, BLUE",360.6,795000,26280
1950,"SABLEFISH",2743.7,6048701,482398
1950,"SALMON, ATLANTIC",0.4,800,362
1950,"SALMON, CHINOOK",16583.1,36559160,8328433
1950,"SALMON, CHUM",33843.1,74610432,5920158
1950,"SALMON, COHO",18245.8,40224632,7151008
1950,"SALMON, PINK",38906.6,85773432,6773180
1950,"SALMON, SOCKEYE",41493.3,91476188,9277170
1950,"SAND PERCH",12.3,27200,1416
1950,"SANDWORMS",26.2,57700,38683
1950,"SARDINE, PACIFIC",324105,714521800,12140322
1950,"SAUGER",270.6,596600,107222
1950,"SAWFISH, SMALLTOOTH",9.3,20600,794
1950,"SCADS",86,189500,9480
1950,"SCALLOP, BAY",725.5,1599500,1263127
1950,"SCALLOP, SEA",9100.5,20062900,9207583
1950,"SCALLOPS",8.2,18000,10616
1950,"SCULPINS",63.3,139500,23794
1950,"SCUPS OR PORGIES",16115.2,35527600,2434856
1950,"SEA BASS, BLACK",5885.2,12974500,1496146
1950,"SEA BASS, GIANT",68.4,150800,23617
1950,"SEA CATFISHES",357.9,789100,35826
1950,"SEA URCHINS",15.4,34000,1388
1950,"SEABASS, WHITE",694.6,1531300,321572
1950,"SEAROBINS",104.4,230100,4114
1950,"SEATROUT, SAND",213.3,470300,41319
1950,"SEATROUT, SPOTTED",2950.8,6505300,1457142
1950,"SEAWEED, IRISH MOSS",975.2,2150000,30200
1950,"SEAWEED, KELP",91265.5,201204000,3090493
1950,"SHAD, AMERICAN",5042.1,11115800,1787787
1950,"SHAD, GIZZARD",137.4,302900,7368
1950,"SHAD, HICKORY",272.8,601400,31561
1950,"SHARK, DOGFISH",1586.2,3497000,106837
1950,"SHARK, SOUPFIN",131.7,290400,92080
1950,"SHARKS",414.1,912958,23061
1950,"SHEEPHEAD, CALIFORNIA",30,66200,4904
1950,"SHEEPSHEAD",196.8,433900,43022
1950,"SHRIMP, MARINE, OTHER",85431.3,188341900,43196403
1950,"SHRIMP, OCEAN",416.9,919000,61034
1950,"SHRIMP, PENAEID",1003.9,2213160,194066
1950,"SILVERSIDES",150,330700,22688
1950,"SKATES",384.3,847125,13032
1950,"SMELT, EULACHON",769.2,1695800,154276
1950,"SMELT, RAINBOW",1218.2,2685700,276569
1950,"SMELT, WHITEBAIT",94.2,207600,19456
1950,"SMELTS",551.9,1216700,90457
1950,"SNAILS (CONCHS)",188.9,416400,54215
1950,"SNAPPER, GRAY",168.7,371900,47368
1950,"SNAPPER, MUTTON",34.6,76300,10244
1950,"SNAPPER, RED",3241.8,7146800,1722141
1950,"SNAPPER, YELLOWTAIL",157.1,346400,68270
1950,"SNAPPERS",2.3,5000,1550
1950,"SNOOK",260.4,574000,68858
1950,"SOLES",20522.6,45244200,2249042
1950,"SPONGE, GRASS",0.5,1100,1100
1950,"SPONGE, SHEEPSWOOL",9,19800,128300
1950,"SPONGE, YELLOW",0.5,1100,1100
1950,"SPOT",4750.2,10472300,659643
1950,"SPOTTED CABRILLA",128.6,283600,34555
1950,"SQUAWFISHES",0.7,1500,225
1950,"SQUIDS",3789.8,8355000,276777
1950,"STURGEONS",228.1,502800,101988
1950,"SUCKERS",1438.8,3171900,152502
1950,"SUNFISHES",10.4,23000,1288
1950,"SURFPERCHES",224.5,495000,58606
1950,"SWORDFISH",425.1,937100,348959
1950,"TAUTOG",87,191800,9911
1950,"TILEFISH, GOLDEN",1089.3,2401400,158343
1950,"TRIPLETAIL",17,37400,3378
1950,"TROUT, LAKE",1476.7,3255600,1243734
1950,"TROUT, RAINBOW",485.1,1069358,172940
1950,"TUNA, ALBACORE",32864.6,72453294,13839263
1950,"TUNA, BLUEFIN",574.8,1267200,112366
1950,"TUNA, BLUEFIN PACIFIC",1252.7,2761800,425391
1950,"TUNA, LITTLE TUNNY",134.2,295900,10865
1950,"TUNA, SKIPJACK",57509.8,126786100,18130439
1950,"TUNA, YELLOWFIN",85226.1,187889500,28823213
1950,"TURTLE, GREEN SEA",3.2,7100,710
1950,"TURTLE, LOGGERHEAD SEA",3.4,7600,194
1950,"TURTLE, SNAPPING",87.9,193700,24620
1950,"TURTLE, TERRAPIN",131,288900,60614
1950,"WALLEYE",3397.5,7490100,1866416
1950,"WEAKFISH",3622.2,7985600,784071
1950,"WHITEFISH, LAKE",1977.1,4358800,1661724
1950,"WHITEFISH, OCEAN",9.3,20600,1890
1950,"WHITEFISH, ROUND",73.1,161100,29801
1950,"WOLFFISH, ATLANTIC",1098.3,2421300,137008
1950,"YELLOWTAIL JACK",1601.1,3529800,314334
1951,"ABALONES",370.5,816800,364596
1951,"ALEWIFE",26171.1,57696700,765521
1951,"AMBERJACK",23.9,52700,2322
1951,"ANCHOVIES",3156.3,6958400,143852
1951,"BARRACUDAS",990,2182600,360534
1951,"BASS, ROCK",11.6,25500,3218
1951,"BASS, STRIPED",2774.5,6116600,1299857
1951,"BASS, WHITE",448.7,989200,198600
1951,"BLOODWORMS",98,216100,158107
1951,"BLUEFISH",2117.9,4669200,760256
1951,"BONITO, ATLANTIC",26.2,57800,5522
1951,"BONITO, PACIFIC",352.4,776800,74265
1951,"BOWFIN",17.5,38500,1540
1951,"BUFFALOFISHES",352.9,777900,86702
1951,"BURBOT",258.7,570400,31011
1951,"BUTTERFISH",4820.9,10628200,800675
1951,"CABEZON",10.8,23900,717
1951,"CARP, COMMON",3862.6,8515400,413748
1951,"CARPS AND MINNOWS",45,99200,7256
1951,"CATFISHES & BULLHEADS",5964.2,13148600,2665441
1951,"CHUBS",4776,10529200,1689584
1951,"CLAM, ATLANTIC JACKKNIFE",21.2,46800,6274
1951,"CLAM, ATLANTIC SURF",4757,10487300,1049457
1951,"CLAM, BUTTER",17.7,38980,15550
1951,"CLAM, OCEAN QUAHOG",93.1,205300,14780
1951,"CLAM, PACIFIC LITTLENECK",80.3,177000,92043
1951,"CLAM, PACIFIC RAZOR",1249.6,2754881,549288
1951,"CLAM, QUAHOG",9328.7,20566000,7431220
1951,"CLAM, SOFTSHELL",4092.1,9021500,2329511
1951,"CLAMS OR BIVALVES",25.3,55700,28060
1951,"COBIA",27.9,61600,5551
1951,"COCKLE, NUTTALL",14.5,32073,2566
1951,"COD, ATLANTIC",22690.3,50023000,3634700
1951,"COD, PACIFIC",4339.8,9567600,516118
1951,"CRAB, ATLANTIC ROCK",1056.2,2328400,127090
1951,"CRAB, BLUE",48893.5,107790600,4349888
1951,"CRAB, BLUE, SOFT AND PEELER",2978.5,6566500,1353871
1951,"CRAB, DUNGENESS",13305.3,29332816,3674258
1951,"CRAB, FLORIDA STONE CLAWS",30.1,66300,32618
1951,"CRAB, HORSESHOE",279.3,615700,3695
1951,"CRAB, KING",904.4,1993912,227622
1951,"CRAB, RED ROCK",10.3,22600,1803
1951,"CRAB, SNOW/TANNER",5.5,12120,1030
1951,"CRAPPIE",0.6,1300,82
1951,"CRAYFISHES OR CRAWFISHES",26.2,57700,9231
1951,"CROAKER, ATLANTIC",3853.5,8495500,1059352
1951,"CROAKER, PACIFIC WHITE",309.4,682200,44249
1951,"CUNNER",7.6,16800,332
1951,"CUSK",1779.5,3923000,181452
1951,"DOLLY VARDEN",11.1,24512,2834
1951,"DOLPHINFISH",12.2,27000,2679
1951,"DRUM, BLACK",601,1325000,141171
1951,"DRUM, FRESHWATER",1974.6,4353300,255121
1951,"DRUM, RED",976.7,2153300,333882
1951,"EEL, AMERICAN",833.3,1837200,242281
1951,"EEL, CONGER",52.4,115600,3637
1951,"FINFISHES, UNC BAIT AND ANIMAL FOOD",20204,44541700,406820
1951,"FINFISHES, UNC FOR FOOD",6279.6,13843900,726082
1951,"FINFISHES, UNC GENERAL",76.2,168049,17071
1951,"FLATFISH",3558.3,7844548,954078
1951,"FLOUNDER, SUMMER",5286.7,11655100,2298363
1951,"FLOUNDER, WINTER",9317.8,20542000,2953453
1951,"FLOUNDER, WITCH",2725.3,6008200,563915
1951,"FLOUNDER, YELLOWTAIL",8359.9,18430200,2373385
1951,"FLOUNDER,ATLANTIC,PLAICE",5153.5,11361500,880894
1951,"FLYINGFISHES",24.3,53500,4217
1951,"FROGS",12.8,28300,9825
1951,"GARS",91.9,202600,10130
1951,"GOATFISHES",65.9,145300,14530
1951,"GOLDFISH",57,125600,6283
1951,"GOOSEFISH",79.8,176000,6420
1951,"GROUPER, GOLIATH",88.2,194500,12766
1951,"GROUPER, WARSAW",96.3,212300,19117
1951,"GROUPERS",3514.3,7747700,852330
1951,"GRUNTS",112.8,248600,20835
1951,"HADDOCK",69900.6,154102800,11967751
1951,"HAKE, PACIFIC (WHITING)",19.6,43100,820
1951,"HAKE, RED",2343.1,5165500,106314
1951,"HAKE, SILVER",54466.2,120076100,2902469
1951,"HAKE, WHITE",5551.3,12238500,565145
1951,"HALIBUT, ATLANTIC",196.6,433500,98903
1951,"HALIBUT, CALIFORNIA",392.8,865900,198641
1951,"HALIBUT, PACIFIC",21601.6,47622800,6788630
1951,"HARVESTFISH",386.8,852800,58207
1951,"HERRING, ATLANTIC",30487.1,67211900,1005254
1951,"HERRING, LAKE OR CISCO",9398.1,20719100,1061079
1951,"HERRING, PACIFIC",39512,87108200,1100346
1951,"HOGCHOKER",5.1,11300,680
1951,"HOGFISH",18.6,40900,4997
1951,"JACK MACKEREL",40750.3,89838100,2016402
1951,"JACK, CREVALLE",331.4,730700,21919
1951,"KING WHITING",1702.9,3754300,338627
1951,"LADYFISH",481.4,1061200,41732
1951,"LAMPREY, SEA",93.8,206800,5170
1951,"LAUNCE, AMERICAN SAND",19,41900,1310
1951,"LEATHERJACKETS",13.3,29300,3220
1951,"LINGCOD",3029.6,6679052,593026
1951,"LOBSTER, AMERICAN",11768.9,25945800,9378322
1951,"LOBSTER, CALIFORNIA SPINY",374,824600,301867
1951,"LOBSTER, CARIBBEAN SPINY",1405,3097400,588506
1951,"MACKEREL (SCOMBER)",15206.1,33523400,932348
1951,"MACKEREL, ATLANTIC",7140.8,15742700,1487134
1951,"MACKEREL, CHUB",8.3,18400,1271
1951,"MACKEREL, FRIGATE",0.7,1500,64
1951,"MACKEREL, KING AND CERO",1424.9,3141300,469554
1951,"MACKEREL, SPANISH",3955.4,8720100,920790
1951,"MENHADEN",511233.6,1127065600,12983198
1951,"MOONEYES",9.8,21500,1128
1951,"MULLET, STRIPED (LIZA)",15078.8,33242700,3547669
1951,"MULLET, WHITE",2685.2,5919900,413751
1951,"MUSSEL, BLUE",327.4,721800,53631
1951,"OCTOPUS",26.9,59400,3640
1951,"OYSTER, EASTERN",29168.6,64305000,27104744
1951,"OYSTER, OLYMPIA",39.7,87600,124854
1951,"OYSTER, PACIFIC",3899.6,8597000,1840170
1951,"PADDLEFISH",10.3,22800,3556
1951,"PERCH, WHITE",1034.1,2279800,228058
1951,"PERCH, YELLOW",2042.3,4502400,996626
1951,"PERIWINKLES",1.6,3500,1072
1951,"PERMIT",18.9,41700,2919
1951,"PIGFISH",173,381400,15273
1951,"PIKE, BLUE",1010.4,2227600,579950
1951,"PIKES",65.5,144500,16080
1951,"PILOTFISH",1.2,2600,124
1951,"PINFISH",464.1,1023200,25600
1951,"POLLOCK",10304.5,22717300,1002433
1951,"POMPANO, FLORIDA",446.3,984000,489273
1951,"POMPANO, PACIFIC",29.1,64200,22298
1951,"PORKFISH",2.1,4600,230
1951,"POUT, OCEAN",63,138900,2431
1951,"PUFFER, NOTHERN",745.8,1644200,80443
1951,"QUILLBACK",1,2300,70
1951,"RATFISH SPOTTED",281.2,620000,6200
1951,"REDFISH, ACADIAN",117173.2,258320100,12596680
1951,"ROCK BASSES, PACIFIC",130.9,288600,45567
1951,"ROCKFISH, PACIFIC OCEAN PERCH",841.8,1855800,92787
1951,"ROCKFISHES",11496.3,25344664,1408832
1951,"RUNNER, BLUE",445.4,982000,49448
1951,"SABLEFISH",6358.8,14018505,1232614
1951,"SALMON, ATLANTIC",0.7,1600,810
1951,"SALMON, CHINOOK",19595.6,43200540,10488978
1951,"SALMON, CHUM",29544.5,65133720,6011159
1951,"SALMON, COHO",23615.7,52063248,8526813
1951,"SALMON, PINK",66971,147644196,18233833
1951,"SALMON, SOCKEYE",30019.6,66181308,9247703
1951,"SAND PERCH",6.5,14300,735
1951,"SANDWORMS",67.1,147900,90480
1951,"SARDINE, PACIFIC",149185.5,328894400,7247606
1951,"SAUGER",214.1,471900,116845
1951,"SAWFISH, SMALLTOOTH",4.9,10800,540
1951,"SCADS",28.2,62100,3105
1951,"SCALLOP, BAY",811.4,1788900,1337451
1951,"SCALLOP, SEA",8503.1,18745900,8323725
1951,"SCALLOPS",7.7,17000,10738
1951,"SCULPINS",46,101400,18412
1951,"SCUPS OR PORGIES",16642.6,36690200,2993264
1951,"SEA BASS, BLACK",8487.2,18710800,2115319
1951,"SEA BASS, GIANT",125.9,277500,45504
1951,"SEA CATFISHES",528.1,1164200,73434
1951,"SEA URCHINS",25,55100,1330
1951,"SEABASS, WHITE",695.4,1533000,364620
1951,"SEAROBINS",195.6,431300,7750
1951,"SEATROUT, SAND",251.7,554900,62890
1951,"SEATROUT, SPOTTED",2639.9,5819900,1391921
1951,"SEAWEED, IRISH MOSS",1238.4,2730100,40440
1951,"SEAWEED, KELP",104109.6,229520000,3525427
1951,"SHAD, AMERICAN",4741.9,10453900,1774184
1951,"SHAD, GIZZARD",140.6,310000,7133
1951,"SHAD, HICKORY",207.8,458200,28672
1951,"SHARK, DOGFISH",1228.3,2707800,71545
1951,"SHARK, SOUPFIN",53,116900,23689
1951,"SHARKS",672.8,1483308,92747
1951,"SHEEPHEAD, CALIFORNIA",27.9,61400,5519
1951,"SHEEPSHEAD",139,306400,30991
1951,"SHRIMP, MARINE, OTHER",100501.9,221566400,51576438
1951,"SHRIMP, OCEAN",423.7,934000,64874
1951,"SHRIMP, PENAEID",823.7,1815916,221457
1951,"SILVERSIDES",0.4,800,48
1951,"SKATES",581.3,1281500,19447
1951,"SMELT, EULACHON",672.3,1482200,228818
1951,"SMELT, RAINBOW",1690.8,3727500,262708
1951,"SMELT, WHITEBAIT",73.5,162100,15583
1951,"SMELTS",767.8,1692700,128251
1951,"SNAILS (CONCHS)",188.5,415600,40827
1951,"SNAPPER, GRAY",216.8,477900,66906
1951,"SNAPPER, RED",3260.5,7188000,1862817
1951,"SNAPPER, YELLOWTAIL",198.5,437600,91882
1951,"SNAPPERS",67.3,148300,24784
1951,"SNOOK",317.3,699600,90915
1951,"SOLES",18919.3,41709500,3030290
1951,"SPADEFISHES",0.1,200,14
1951,"SPONGE, GRASS",0.2,500,1610
1951,"SPONGE, SHEEPSWOOL",6.7,14800,107300
1951,"SPONGE, YELLOW",0.2,500,1845
1951,"SPOT",5929.3,13071800,836181
1951,"SPOTTED CABRILLA",177.7,391800,59314
1951,"SQUAWFISHES",0.4,900,35
1951,"SQUIDS",8156.4,17981500,611646
1951,"STURGEONS",174.8,385300,98771
1951,"SUCKERS",1391.6,3067900,165558
1951,"SUNFISHES",8,17700,1285
1951,"SURFPERCHES",235.6,519500,61276
1951,"SWORDFISH",195,429900,198266
1951,"TAUTOG",90.4,199400,9926
1951,"TILEFISH, GOLDEN",1031.6,2274300,192557
1951,"TOMCOD, PACIFIC",0.9,2000,108
1951,"TRIPLETAIL",11.4,25200,2167
1951,"TROUT, LAKE",1328.1,2928000,1245612
1951,"TROUT, RAINBOW",565.1,1245748,265955
1951,"TUNA, ALBACORE",15644.8,34490600,5403383
1951,"TUNA, BLUEFIN",798.6,1760600,130837
1951,"TUNA, BLUEFIN PACIFIC",1752,3862400,604027
1951,"TUNA, LITTLE TUNNY",168.5,371500,8088
1951,"TUNA, SKIPJACK",52889,116599000,16655070
1951,"TUNA, YELLOWFIN",73405.3,161829400,25005851
1951,"TURTLE, GREEN SEA",4.1,9100,910
1951,"TURTLE, LOGGERHEAD SEA",2.4,5400,366
1951,"TURTLE, SNAPPING",80.4,177300,19704
1951,"TURTLE, SOFT-SHELL",4.1,9100,546
1951,"TURTLE, TERRAPIN",73.4,161900,42325
1951,"WALLEYE",3034.9,6690800,2052590
1951,"WEAKFISH",2876.4,6341300,767716
1951,"WHALES",247.2,545000,47500
1951,"WHITEFISH, LAKE",1082.6,2386800,1111376
1951,"WHITEFISH, OCEAN",8.3,18200,1869
1951,"WHITEFISH, ROUND",59.1,130400,23891
1951,"WOLFFISH, ATLANTIC",902.2,1989100,110036
1951,"YELLOWTAIL JACK",2118.2,4669700,443307
1952,"ABALONES",434,956800,431094
1952,"ALEWIFE",21030.4,46363600,743937
1952,"AMBERJACK",38.6,85200,5299
1952,"ANCHOVIES",25307.1,55792100,1153404
1952,"BALLYHOO",1.8,4000,440
1952,"BARRACUDAS",980.2,2161000,334037
1952,"BASS, ROCK",9.5,21000,3028
1952,"BASS, STRIPED",2448.7,5398300,1173760
1952,"BASS, WHITE",384.9,848500,161734
1952,"BLOODWORMS",96.1,211800,179672
1952,"BLUEFISH",2199.9,4849900,759019
1952,"BONITO, ATLANTIC",35.2,77600,13715
1952,"BONITO, PACIFIC",971.8,2142500,206592
1952,"BOWFIN",23.2,51200,2017
1952,"BUFFALOFISHES",321.7,709200,93698
1952,"BURBOT",378.9,835300,24955
1952,"BUTTERFISH",5409.6,11925900,938875
1952,"CABEZON",15.6,34500,1074
1952,"CARP, COMMON",3901,8600100,393592
1952,"CARPS AND MINNOWS",53,116900,8403
1952,"CATFISHES & BULLHEADS",8176.9,18026800,3216812
1952,"CHUBS",5103.7,11251700,1731371
1952,"CLAM, ATLANTIC JACKKNIFE",29.9,66000,7825
1952,"CLAM, ATLANTIC SURF",5737,12647700,1408603
1952,"CLAM, BUTTER",25.8,56916,12643
1952,"CLAM, MANILA",25.4,56100,20365
1952,"CLAM, OCEAN QUAHOG",219.6,484100,43531
1952,"CLAM, PACIFIC LITTLENECK",95,209400,83767
1952,"CLAM, PACIFIC RAZOR",768.2,1693654,329825
1952,"CLAM, QUAHOG",7818.2,17236000,7211242
1952,"CLAM, SOFTSHELL",3325.7,7331900,2553977
1952,"CLAMS OR BIVALVES",24.7,54400,28002
1952,"COBIA",18.8,41400,3884
1952,"COCKLE, NUTTALL",4,8830,662
1952,"COD, ATLANTIC",19815.8,43685900,3157820
1952,"COD, PACIFIC",4918.7,10843800,572051
1952,"CRAB, ATLANTIC ROCK",679.8,1498600,73487
1952,"CRAB, BLUE",45280.2,99824700,4254596
1952,"CRAB, BLUE, SOFT AND PEELER",2001,4411400,837470
1952,"CRAB, DUNGENESS",12023.8,26507612,3450797
1952,"CRAB, FLORIDA STONE CLAWS",45,99300,49650
1952,"CRAB, HORSESHOE",280.8,619000,3096
1952,"CRAB, KING",1257.7,2772833,388197
1952,"CRAB, RED ROCK",7.7,17000,715
1952,"CRAB, SNOW/TANNER",6.4,14191,1419
1952,"CRAPPIE",429.4,946600,306795
1952,"CRAYFISHES OR CRAWFISHES",11.7,25700,3579
1952,"CROAKER, ATLANTIC",3763,8295800,731919
1952,"CROAKER, PACIFIC WHITE",1484.8,3273500,127815
1952,"CUNNER",3.2,7000,209
1952,"CUSK",1678.3,3700000,195008
1952,"DOLLY VARDEN",6.5,14317,1660
1952,"DOLPHINFISH",11.9,26300,2630
1952,"DRUM, BLACK",510.2,1124800,134764
1952,"DRUM, FRESHWATER",1971,4345200,167176
1952,"DRUM, RED",820.3,1808400,340206
1952,"EEL, AMERICAN",734,1618200,166941
1952,"EEL, CONGER",73.1,161100,4745
1952,"FINFISHES, UNC BAIT AND ANIMAL FOOD",22357.3,49288800,434214
1952,"FINFISHES, UNC FOR FOOD",7697.5,16970000,833169
1952,"FINFISHES, UNC GENERAL",64.6,142400,5265
1952,"FLATFISH",3943.5,8693933,1026572
1952,"FLOUNDER, SUMMER",6954.3,15331500,2863244
1952,"FLOUNDER, WINTER",8601.7,18963200,2647195
1952,"FLOUNDER, WITCH",2616.8,5769000,566685
1952,"FLOUNDER, YELLOWTAIL",7705.2,16986800,1972566
1952,"FLOUNDER,ATLANTIC,PLAICE",3466.5,7642300,680177
1952,"FLYINGFISHES",23,50700,3794
1952,"FROGS",2.4,5400,1820
1952,"GARS",88.7,195600,9660
1952,"GOATFISHES",51.9,114500,9160
1952,"GOLDFISH",45.5,100400,3010
1952,"GOOSEFISH",38,83700,3199
1952,"GROUPER, GOLIATH",77.1,169900,15990
1952,"GROUPER, WARSAW",131.9,290700,27012
1952,"GROUPERS",2874.2,6336500,835591
1952,"GRUNTS",70.2,154700,12833
1952,"HADDOCK",73254.7,161497400,12505945
1952,"HAKE, PACIFIC (WHITING)",44.6,98400,2565
1952,"HAKE, RED",2001.2,4411900,89695
1952,"HAKE, SILVER",49187.1,108437800,2364030
1952,"HAKE, WHITE",5428.8,11968300,564925
