"Species","FishingEntityName","Year","Landed.Country","TaxonKey","LandedValue","Landings","ObservedPrice"
"Abalones, winkles, conchs","Netherlands",2009,"Netherlands",390011,272520,108,2523.33333333333
"Abalones, winkles, conchs","Netherlands",2010,"Belgium",390011,180,1,180
"Abalones, winkles, conchs","Netherlands",2010,"Netherlands",390011,257011,87,2954.14942528736
"Abalones, winkles, conchs","Netherlands",2011,"Netherlands",390011,49882,102,489.039215686275
"Abalones, winkles, conchs","Netherlands",2012,"Netherlands",390011,60595,100,605.95
"Abalones, winkles, conchs","Netherlands",2013,"Netherlands",390011,76408,105,727.695238095238
"Abalones, winkles, conchs","Norway",2007,"Norway",390011,15985,23,695
"Abalones, winkles, conchs","Norway",2008,"Norway",390011,73144,73,1001.97260273973
"Abalones, winkles, conchs","Norway",2009,"Norway",390011,42310,41,1031.9512195122
"Abalones, winkles, conchs","Norway",2010,"Norway",390011,28547,17,1679.23529411765
"Abalones, winkles, conchs","Norway",2011,"Norway",390011,17282,12,1440.16666666667
"Abalones, winkles, conchs","Norway",2012,"Norway",390011,51015,51,1000.29411764706
"Abalones, winkles, conchs","Portugal",2007,"Portugal",390011,695658,201,3460.98507462687
"Abalones, winkles, conchs","Portugal",2008,"Portugal",390011,921117,220,4186.89545454545
"Abalones, winkles, conchs","Portugal",2009,"Portugal",390011,924834,227,4074.15859030837
"Abalones, winkles, conchs","Portugal",2010,"Portugal",390011,892260.2,241.4,3696.18972659486
"Abalones, winkles, conchs","Portugal",2010,"Spain",390011,24889,3,8296.33333333333
"Abalones, winkles, conchs","Portugal",2011,"Portugal",390011,849321,229,3708.82532751092
"Abalones, winkles, conchs","Portugal",2012,"Portugal",390011,821455,202,4066.60891089109
"Abalones, winkles, conchs","Portugal",2012,"Spain",390011,7119,1,7119
"Abalones, winkles, conchs","Portugal",2013,"Portugal",390011,634797,169,3756.19526627219
"Abalones, winkles, conchs","Romania",2009,"Romania",390011,5661,2,2830.5
"Abalones, winkles, conchs","Romania",2011,"Romania",390011,913993,218,4192.62844036697
"Abalones, winkles, conchs","Romania",2012,"Romania",390011,527796,588,897.612244897959
"Abalones, winkles, conchs","Romania",2013,"Romania",390011,630477,1314,479.815068493151
"Abalones, winkles, conchs","Spain",2007,"Spain",390011,2533604,356,7116.86516853933
"Abalones, winkles, conchs","Spain",2008,"Spain",390011,2791593,395,7067.32405063291
"Abalones, winkles, conchs","Spain",2009,"Spain",390011,3239861,450,7199.69111111111
"Abalones, winkles, conchs","Spain",2010,"Spain",390011,2996592,442,6779.61990950226
"Abalones, winkles, conchs","Spain",2011,"Spain",390011,2437908,376,6483.79787234043
"Abalones, winkles, conchs","Spain",2012,"Spain",390011,1136985,163,6975.36809815951
"Abalones, winkles, conchs","Spain",2013,"Spain",390011,820053,133,6165.81203007519
"Abalones, winkles, conchs","United Kingdom",2007,"Denmark",390011,158,1,158
"Abalones, winkles, conchs","United Kingdom",2007,"France",390011,193203,117,1651.30769230769
"Abalones, winkles, conchs","United Kingdom",2007,"United Kingdom",390011,11640700,13068,890.779002142639
"Abalones, winkles, conchs","United Kingdom",2008,"France",390011,54681,60,911.35
"Abalones, winkles, conchs","United Kingdom",2008,"Netherlands",390011,80984,37,2188.75675675676
"Abalones, winkles, conchs","United Kingdom",2008,"United Kingdom",390011,11656019,13594,857.438502280418
"Abalones, winkles, conchs","United Kingdom",2009,"France",390011,1105,1,1105
"Abalones, winkles, conchs","United Kingdom",2009,"Netherlands",390011,135630,54,2511.66666666667
"Abalones, winkles, conchs","United Kingdom",2009,"United Kingdom",390011,8424408,12857,655.23901376682
"Abalones, winkles, conchs","United Kingdom",2010,"Netherlands",390011,238758,81,2947.62962962963
"Abalones, winkles, conchs","United Kingdom",2010,"United Kingdom",390011,10788111,14500,744.007655172414
"Abalones, winkles, conchs","United Kingdom",2011,"France",390011,3685,1,3685
"Abalones, winkles, conchs","United Kingdom",2011,"Netherlands",390011,38318,78,491.25641025641
"Abalones, winkles, conchs","United Kingdom",2011,"United Kingdom",390011,10324452,13916,741.912331129635
"Abalones, winkles, conchs","United Kingdom",2012,"France",390011,7621,3,2540.33333333333
"Abalones, winkles, conchs","United Kingdom",2012,"Netherlands",390011,5473,9,608.111111111111
"Abalones, winkles, conchs","United Kingdom",2012,"United Kingdom",390011,14384620,16703,861.199784469856
"Abalones, winkles, conchs","United Kingdom",2013,"France",390011,2360,1,2360
"Abalones, winkles, conchs","United Kingdom",2013,"Netherlands",390011,5982,8,747.75
"Abalones, winkles, conchs","United Kingdom",2013,"United Kingdom",390011,16313634,20067,812.958289729406
"Adriatic sole - Solea impar","Spain",2013,"Spain",500618,4352,1,4352
"Aesop shrimp - Pandalus montagui","Netherlands",2013,"Netherlands",690003,1221,1,1221
"African squid - Alloteuthis africana","France",2011,"France",390002,86200,28,3078.57142857143
"African striped grunt - Parapristipoma octolinea","Portugal",2007,"Portugal",608092,9786,6,1631
"African striped grunt - Parapristipoma octolinea","Portugal",2008,"Portugal",608092,8245,6,1374.16666666667
"African striped grunt - Parapristipoma octolinea","Portugal",2009,"Portugal",608092,3542,3,1180.66666666667
"African striped grunt - Parapristipoma octolinea","Portugal",2010,"Portugal",608092,907.2,0.8,1134
"African striped grunt - Parapristipoma octolinea","Portugal",2011,"Portugal",608092,7785,3,2595
"African striped grunt - Parapristipoma octolinea","Portugal",2012,"Portugal",608092,9433,4,2358.25
"African striped grunt - Parapristipoma octolinea","Spain",2013,"Spain",608092,21286,7,3040.85714285714
"Albacore - Thunnus alalunga","Croatia",2011,"Croatia",600142,42645,7,6092.14285714286
"Albacore - Thunnus alalunga","Croatia",2012,"Croatia",600142,57822,12,4818.5
"Albacore - Thunnus alalunga","Croatia",2013,"Croatia",600142,131566,20,6578.3
"Albacore - Thunnus alalunga","Cyprus",2004,"Cyprus",600142,1013577,236,4294.81779661017
"Albacore - Thunnus alalunga","Cyprus",2005,"Cyprus",600142,684604,395,1733.1746835443
"Albacore - Thunnus alalunga","Cyprus",2006,"Cyprus",600142,701379,505,1388.86930693069
"Albacore - Thunnus alalunga","Cyprus",2007,"Cyprus",600142,798234,620,1287.47419354839
"Albacore - Thunnus alalunga","Cyprus",2008,"Cyprus",600142,760800,240,3170
"Albacore - Thunnus alalunga","Cyprus",2009,"Cyprus",600142,411920,217,1898.24884792627
"Albacore - Thunnus alalunga","Cyprus",2010,"Cyprus",600142,577500,231,2500
"Albacore - Thunnus alalunga","Cyprus",2011,"Cyprus",600142,467109,242,1930.20247933884
"Albacore - Thunnus alalunga","Cyprus",2012,"Cyprus",600142,784225,318,2466.11635220126
"Albacore - Thunnus alalunga","Cyprus",2013,"Cyprus",600142,886236,359,2468.62395543175
"Albacore - Thunnus alalunga","France",2007,"France",600142,7291914,3013,2420.150680385
"Albacore - Thunnus alalunga","France",2007,"Ireland",600142,133495,53,2518.77358490566
"Albacore - Thunnus alalunga","France",2007,"Spain",600142,196115,78,2514.29487179487
"Albacore - Thunnus alalunga","France",2008,"France",600142,3600722,1526,2359.58191349934
"Albacore - Thunnus alalunga","France",2009,"France",600142,3165041,1290,2453.52015503876
"Albacore - Thunnus alalunga","France",2009,"Spain",600142,22208,8,2776
"Albacore - Thunnus alalunga","France",2010,"France",600142,2916827.73,890,3277.33452808989
"Albacore - Thunnus alalunga","France",2010,"Spain",600142,154511,42,3678.83333333333
"Albacore - Thunnus alalunga","France",2011,"France",600142,9074144,3308,2743.09068923821
"Albacore - Thunnus alalunga","France",2011,"Spain",600142,45953,11,4177.54545454545
"Albacore - Thunnus alalunga","France",2012,"France",600142,12249242,4740,2584.22827004219
"Albacore - Thunnus alalunga","France",2012,"Spain",600142,146510,32,4578.4375
"Albacore - Thunnus alalunga","France",2013,"France",600142,14115873,5894,2394.95639633526
"Albacore - Thunnus alalunga","France",2013,"Spain",600142,2376,1,2376
"Albacore - Thunnus alalunga","Greece",2007,"Greece",600142,1754000,702,2498.5754985755
"Albacore - Thunnus alalunga","Greece",2008,"Greece",600142,1666670,541,3080.72088724584
"Albacore - Thunnus alalunga","Greece",2009,"Greece",600142,1140604,489,2332.52351738241
"Albacore - Thunnus alalunga","Greece",2010,"Greece",600142,839700,373,2251.20643431635
"Albacore - Thunnus alalunga","Greece",2011,"Greece",600142,646850,299,2163.3779264214
"Albacore - Thunnus alalunga","Greece",2012,"Greece",600142,755500,302,2501.65562913907
"Albacore - Thunnus alalunga","Greece",2013,"Greece",600142,771300,343,2248.68804664723
"Albacore - Thunnus alalunga","Ireland",2007,"France",600142,14460,6,2410
"Albacore - Thunnus alalunga","Ireland",2007,"Ireland",600142,1322803,568,2328.87852112676
"Albacore - Thunnus alalunga","Ireland",2008,"Ireland",600142,5165385,1515,3409.49504950495
"Albacore - Thunnus alalunga","Ireland",2009,"Ireland",600142,9415146,1996,4717.00701402806
"Albacore - Thunnus alalunga","Ireland",2010,"Ireland",600142,2203719,786,2803.71374045802
"Albacore - Thunnus alalunga","Ireland",2011,"France",600142,268323,90,2981.36666666667
"Albacore - Thunnus alalunga","Ireland",2011,"Ireland",600142,8126507,3507,2317.2246934702
"Albacore - Thunnus alalunga","Ireland",2012,"Ireland",600142,8435614,3656,2307.33424507659
"Albacore - Thunnus alalunga","Ireland",2012,"Spain",600142,242673,98,2476.25510204082
"Albacore - Thunnus alalunga","Ireland",2013,"Ireland",600142,4774050,2231,2139.87001344688
"Albacore - Thunnus alalunga","Italy",2007,"Italy",600142,18549569,4089,4536.45610173637
"Albacore - Thunnus alalunga","Italy",2007,"Spain",600142,58732,20,2936.6
"Albacore - Thunnus alalunga","Italy",2008,"Italy",600142,10752624,2098,5125.1782650143
"Albacore - Thunnus alalunga","Italy",2008,"Spain",600142,77850,5,15570
"Albacore - Thunnus alalunga","Italy",2009,"Italy",600142,14284038,2799,5103.26473740622
"Albacore - Thunnus alalunga","Italy",2009,"Spain",600142,28688,16,1793
"Albacore - Thunnus alalunga","Italy",2010,"Italy",600142,9200939,1877,4901.93873201918
"Albacore - Thunnus alalunga","Italy",2010,"Spain",600142,112600,24,4691.66666666667
"Albacore - Thunnus alalunga","Italy",2011,"Italy",600142,10012345,2504,3998.54033546326
"Albacore - Thunnus alalunga","Italy",2011,"Spain",600142,180193,41,4394.9512195122
"Albacore - Thunnus alalunga","Italy",2012,"Italy",600142,5099258,1154,4418.76776429809
"Albacore - Thunnus alalunga","Italy",2012,"Spain",600142,44665,10,4466.5
"Albacore - Thunnus alalunga","Italy",2013,"Italy",600142,3099339,615,5039.5756097561
"Albacore - Thunnus alalunga","Malta",2007,"Malta",600142,3344,2,1672
"Albacore - Thunnus alalunga","Malta",2008,"Malta",600142,13019,5,2603.8
"Albacore - Thunnus alalunga","Malta",2009,"Malta",600142,4081,1,4081
"Albacore - Thunnus alalunga","Malta",2010,"Malta",600142,8880,2,4440
"Albacore - Thunnus alalunga","Malta",2011,"Malta",600142,12838,5,2567.6
"Albacore - Thunnus alalunga","Malta",2012,"Malta",600142,93653,19,4929.1052631579
"Albacore - Thunnus alalunga","Malta",2013,"Malta",600142,63259,29,2181.34482758621
"Albacore - Thunnus alalunga","Netherlands",2011,"Netherlands",600142,15954,6,2659
"Albacore - Thunnus alalunga","Portugal",2007,"Portugal",600142,107990,38,2841.84210526316
"Albacore - Thunnus alalunga","Portugal",2007,"Spain",600142,364554,109,3344.53211009174
"Albacore - Thunnus alalunga","Portugal",2008,"Portugal",600142,856900,451,1900
"Albacore - Thunnus alalunga","Portugal",2008,"Spain",600142,208188,58,3589.44827586207
"Albacore - Thunnus alalunga","Portugal",2009,"Portugal",600142,149003,55,2709.14545454545
"Albacore - Thunnus alalunga","Portugal",2009,"Spain",600142,1104827,272,4061.86397058824
"Albacore - Thunnus alalunga","Portugal",2010,"Portugal",600142,164919.7,47.9,3443
"Albacore - Thunnus alalunga","Portugal",2010,"Spain",600142,240724,61,3946.29508196721
"Albacore - Thunnus alalunga","Portugal",2011,"Portugal",600142,2156306,967,2229.89245087901
"Albacore - Thunnus alalunga","Portugal",2011,"Spain",600142,84738,21,4035.14285714286
"Albacore - Thunnus alalunga","Portugal",2012,"Portugal",600142,3036506,1217,2495.07477403451
"Albacore - Thunnus alalunga","Portugal",2012,"Spain",600142,228373,48,4757.77083333333
"Albacore - Thunnus alalunga","Portugal",2013,"Portugal",600142,1386498,602,2303.15282392027
"Albacore - Thunnus alalunga","Portugal",2013,"Spain",600142,21448,3,7149.33333333333
"Albacore - Thunnus alalunga","Spain",2007,"Ireland",600142,26993,15,1799.53333333333
"Albacore - Thunnus alalunga","Spain",2007,"Spain",600142,46310534,14652,3160.69710619711
"Albacore - Thunnus alalunga","Spain",2008,"Spain",600142,47505847,14241,3335.85050207148
"Albacore - Thunnus alalunga","Spain",2009,"France",600142,6483,1,6483
"Albacore - Thunnus alalunga","Spain",2009,"Ireland",600142,98328,24,4097
"Albacore - Thunnus alalunga","Spain",2009,"Spain",600142,38806759,9329,4159.7983706721
"Albacore - Thunnus alalunga","Spain",2010,"Ireland",600142,110789,44,2517.93181818182
"Albacore - Thunnus alalunga","Spain",2010,"Spain",600142,50984234,13151,3876.83324462018
"Albacore - Thunnus alalunga","Spain",2011,"Ireland",600142,6556,3,2185.33333333333
"Albacore - Thunnus alalunga","Spain",2011,"Spain",600142,34028155,8379,4061.12364243943
"Albacore - Thunnus alalunga","Spain",2012,"Spain",600142,31740916,9080,3495.69559471366
"Albacore - Thunnus alalunga","Spain",2013,"Spain",600142,38635423,10591,3647.94854121424
"Albacore - Thunnus alalunga","United Kingdom",2007,"France",600142,11544,3,3848
"Albacore - Thunnus alalunga","United Kingdom",2007,"Spain",600142,28896,8,3612
"Albacore - Thunnus alalunga","United Kingdom",2007,"United Kingdom",600142,52911,17,3112.41176470588
"Albacore - Thunnus alalunga","United Kingdom",2008,"United Kingdom",600142,226329,45,5029.53333333333
"Albacore - Thunnus alalunga","United Kingdom",2009,"Spain",600142,111650,28,3987.5
"Albacore - Thunnus alalunga","United Kingdom",2009,"United Kingdom",600142,63886,18,3549.22222222222
"Albacore - Thunnus alalunga","United Kingdom",2010,"France",600142,29677.56,6.6,4496.6
"Albacore - Thunnus alalunga","United Kingdom",2010,"Spain",600142,307195,74,4151.28378378378
"Albacore - Thunnus alalunga","United Kingdom",2010,"United Kingdom",600142,81555,18,4530.83333333333
"Albacore - Thunnus alalunga","United Kingdom",2011,"Spain",600142,371957,72,5166.06944444444
"Albacore - Thunnus alalunga","United Kingdom",2011,"United Kingdom",600142,27536,5,5507.2
"Albacore - Thunnus alalunga","United Kingdom",2012,"Spain",600142,363928,98,3713.55102040816
"Alfonsino - Beryx decadactylus","France",2007,"Spain",601319,4501,1,4501
"Alfonsino - Beryx decadactylus","France",2008,"Spain",601319,6213,1,6213
"Alfonsino - Beryx decadactylus","France",2009,"Spain",601319,31261,4,7815.25
"Alfonsino - Beryx decadactylus","France",2010,"Spain",601319,8632,1,8632
"Alfonsino - Beryx decadactylus","France",2011,"Spain",601319,9544,1,9544
"Alfonsino - Beryx decadactylus","Portugal",2007,"Portugal",601319,760357,60,12672.6166666667
"Alfonsino - Beryx decadactylus","Portugal",2008,"Portugal",601319,871646,74,11779
"Alfonsino - Beryx decadactylus","Portugal",2009,"Portugal",601319,735114,67,10971.8507462687
"Alfonsino - Beryx decadactylus","Portugal",2009,"Spain",601319,33205,2,16602.5
"Alfonsino - Beryx decadactylus","Portugal",2010,"Portugal",601319,714922,62,11531
"Alfonsino - Beryx decadactylus","Portugal",2010,"Spain",601319,160586,10,16058.6
"Alfonsino - Beryx decadactylus","Portugal",2011,"Portugal",601319,691589,56,12349.8035714286
"Alfonsino - Beryx decadactylus","Portugal",2011,"Spain",601319,215728,12,17977.3333333333
"Alfonsino - Beryx decadactylus","Portugal",2012,"Portugal",601319,519025,44,11796.0227272727
"Alfonsino - Beryx decadactylus","Portugal",2012,"Spain",601319,37870,7,5410
"Alfonsino - Beryx decadactylus","Portugal",2013,"Portugal",601319,395602,32,12362.5625
"Alfonsino - Beryx decadactylus","Spain",2007,"Spain",601319,1265090,227,5573.08370044053
"Alfonsino - Beryx decadactylus","Spain",2008,"Spain",601319,590879,100,5908.79
"Alfonsino - Beryx decadactylus","Spain",2009,"Spain",601319,920780,117,7869.91452991453
"Alfonsino - Beryx decadactylus","Spain",2010,"Portugal",601319,8734.2,0.6,14557
"Alfonsino - Beryx decadactylus","Spain",2010,"Spain",601319,1118202,135,8282.97777777778
"Alfonsino - Beryx decadactylus","Spain",2011,"Spain",601319,1460820,159,9187.54716981132
"Alfonsino - Beryx decadactylus","Spain",2012,"Spain",601319,154171,21,7341.47619047619
"Alfonsino - Beryx decadactylus","Spain",2013,"Spain",601319,237251,31,7653.25806451613
"Alfonsino - Beryx decadactylus","United Kingdom",2008,"Spain",601319,6598,1,6598
"Alfonsino - Beryx decadactylus","United Kingdom",2009,"Spain",601319,28656,3,9552
"Alfonsino - Beryx decadactylus","United Kingdom",2010,"Spain",601319,7013,1,7013
"Alfonsinos etc, nei - Berycidae","France",2009,"Spain",400240,12653,1,12653
"Alfonsinos etc, nei - Berycidae","France",2011,"Spain",400240,7617,1,7617
"Alfonsinos etc, nei - Berycidae","France",2012,"Spain",400240,7008,2,3504
"Alfonsinos etc, nei - Berycidae","Spain",2007,"Spain",400240,86462,7,12351.7142857143
"Alfonsinos etc, nei - Berycidae","Spain",2008,"Spain",400240,11222,2,5611
"Alfonsinos etc, nei - Berycidae","Spain",2009,"Spain",400240,13925,3,4641.66666666667
"Alfonsinos etc, nei - Berycidae","Spain",2010,"Spain",400240,98900,4,24725
"Alfonsinos etc, nei - Berycidae","Spain",2011,"Spain",400240,81207,18,4511.5
"Alfonsinos etc, nei - Berycidae","Spain",2013,"Spain",400240,553911,55,10071.1090909091
"Alfonsinos nei - Beryx spp","France",2007,"France",501129,44571,23,1937.86956521739
"Alfonsinos nei - Beryx spp","France",2007,"Spain",501129,9281,1,9281
"Alfonsinos nei - Beryx spp","France",2008,"France",501129,64854,23,2819.73913043478
"Alfonsinos nei - Beryx spp","France",2008,"Spain",501129,5509,1,5509
"Alfonsinos nei - Beryx spp","France",2009,"France",501129,50971,20,2548.55
"Alfonsinos nei - Beryx spp","France",2009,"Spain",501129,21252,2,10626
"Alfonsinos nei - Beryx spp","France",2010,"France",501129,22445.8,9.7,2314
"Alfonsinos nei - Beryx spp","France",2010,"Spain",501129,13206,2,6603
"Alfonsinos nei - Beryx spp","France",2011,"France",501129,28176,9,3130.66666666667
"Alfonsinos nei - Beryx spp","France",2011,"Spain",501129,11491,1,11491
"Alfonsinos nei - Beryx spp","France",2012,"France",501129,34789,8,4348.625
"Alfonsinos nei - Beryx spp","France",2012,"Spain",501129,3998,1,3998
"Alfonsinos nei - Beryx spp","France",2013,"France",501129,64904,19,3416
"Alfonsinos nei - Beryx spp","Portugal",2007,"Portugal",501129,40362,4,10090.5
"Alfonsinos nei - Beryx spp","Portugal",2008,"Portugal",501129,28337,3,9445.66666666667
"Alfonsinos nei - Beryx spp","Portugal",2009,"Portugal",501129,20038,2,10019
"Alfonsinos nei - Beryx spp","Portugal",2009,"Spain",501129,30920,5,6184
"Alfonsinos nei - Beryx spp","Portugal",2010,"Portugal",501129,965.2,0.1,9652
"Alfonsinos nei - Beryx spp","Portugal",2010,"Spain",501129,57447,11,5222.45454545455
