Species,Year,Pounds,Tonnes..ConvertPounds.,LandedValue,ObservedPrice,FishingEntityName,FishingEntityID,TaxonKey
"ABALONE, RED",1988,"129,846",59,"1,215,428",20636.44674,USA,187,690317
"ABALONE, RED",1985,"147,512",67,"1,249,859",18679.61539,USA,187,690317
"ABALONE, RED",1996,"91,625",42,"2,183,981",52549.56527,USA,187,690317
"ABALONE, RED",1992,"179,486",81,"2,430,364",29852.10798,USA,187,690317
"ABALONE, RED",1990,"151,602",69,"1,813,780",26376.30387,USA,187,690317
"ABALONE, RED",1997,"45,128",20,"1,056,639",51619.62069,USA,187,690317
"ABALONE, RED",1981,"172,126",78,"1,010,698",12945.21266,USA,187,690317
"ABALONE, RED",1983,"92,483",42,"691,665",16488.00651,USA,187,690317
"ABALONE, RED",1993,"171,538",78,"2,950,350",37918.17762,USA,187,690317
"ABALONE, RED",1995,"97,639",44,"2,297,392",51873.55846,USA,187,690317
"ABALONE, RED",1994,"114,583",52,"2,504,417",48185.98198,USA,187,690317
"ABALONE, RED",1986,"105,320",48,"882,491",18472.84108,USA,187,690317
"ABALONE, RED",1982,"172,514",78,"974,242",12450.21246,USA,187,690317
"ABALONE, RED",1987,"156,511",71,"1,400,614",19729.12644,USA,187,690317
"ABALONE, WHITE",1982,364,0,"2,656",16086.47715,USA,187,590046
"ABALONE, WHITE",1981,67,0,579,19051.88803,USA,187,590046
"ABALONE, WHITE",1986,350,0,"2,662",16767.72977,USA,187,590046
"ABALONE, WHITE",1994,18,0,414,50706.3203,USA,187,590046
"ABALONE, WHITE",1995,16,0,342,47123.80854,USA,187,590046
"ABALONE, WHITE",1983,193,0,"1,471",16803.10817,USA,187,590046
"ABALONE, WHITE",1985,662,0,"9,714",32350.00627,USA,187,590046
"ABALONE, WHITE",1984,180,0,"1,692",20723.45265,USA,187,590046
ABALONES,1968,"892,100",405,"1,119,391",2766.320728,USA,187,490020
ABALONES,2004,"1,084",0,"4,553",9259.821769,USA,187,490020
ABALONES,1962,"836,800",380,"593,449",1563.493177,USA,187,490020
ABALONES,1957,"1,084,300",492,"587,320",1194.151949,USA,187,490020
ABALONES,2003,"1,192",1,"4,771",8824.039034,USA,187,490020
ABALONES,1979,"1,370,470",622,"1,730,785",2784.247568,USA,187,490020
ABALONES,1969,"731,600",332,"1,160,947",3498.428129,USA,187,490020
ABALONES,1954,"819,900",372,"376,924",1013.507961,USA,187,490020
ABALONES,1984,"96,201",44,"241,949",5544.705759,USA,187,490020
ABALONES,1987,"68,822",31,"219,331",7025.981289,USA,187,490020
ABALONES,1985,"75,461",34,"219,073",6400.303357,USA,187,490020
ABALONES,1952,"956,800",434,"431,094",993.3106026,USA,187,490020
ABALONES,1975,"430,500",195,"1,401,937",7179.423983,USA,187,490020
ABALONES,1977,"289,680",131,"1,402,782",10675.93528,USA,187,490020
ABALONES,1982,"113,391",51,"240,587",4677.65116,USA,187,490020
ABALONES,1992,"35,960",16,"385,791",23651.93454,USA,187,490020
ABALONES,1953,"943,800",428,"438,824",1025.049075,USA,187,490020
ABALONES,2001,"1,208",1,"5,247",9575.873259,USA,187,490020
ABALONES,1966,"997,600",453,"920,203",2033.580945,USA,187,490020
ABALONES,1951,"816,800",370,"364,596",984.0800556,USA,187,490020
ABALONES,1983,"46,845",21,"131,053",6167.625327,USA,187,490020
ABALONES,2005,"1,200",1,"4,872",8950.767845,USA,187,490020
ABALONES,1974,"519,000",235,"1,298,781",5516.998022,USA,187,490020
ABALONES,1994,"22,903",10,"344,370",33148.7531,USA,187,490020
ABALONES,1973,"639,400",290,"1,080,303",3724.83646,USA,187,490020
ABALONES,1996,29,0,623,47361.37563,USA,187,490020
ABALONES,2002,"1,200",1,"4,948",9090.393944,USA,187,490020
ABALONES,1989,"61,804",28,"331,018",11807.80809,USA,187,490020
ABALONES,1991,"44,082",20,"267,723",13389.32404,USA,187,490020
ABALONES,1960,"853,300",387,"496,345",1282.378314,USA,187,490020
ABALONES,1981,"367,245",167,"441,290",2649.125017,USA,187,490020
ABALONES,1988,"76,100",35,"307,368",8904.473667,USA,187,490020
ABALONES,2006,"1,185",1,"4,815",8958.023565,USA,187,490020
ABALONES,1965,"915,200",415,"698,288",1682.103935,USA,187,490020
ABALONES,1959,"912,400",414,"497,229",1201.449257,USA,187,490020
ABALONES,1967,"888,900",403,"865,363",2146.246874,USA,187,490020
ABALONES,2008,677,0,"2,746",8942.235923,USA,187,490020
ABALONES,1955,"837,200",380,"423,253",1114.564188,USA,187,490020
ABALONES,1980,"1,490,609",676,"2,520,325",3727.580814,USA,187,490020
ABALONES,1995,"14,352",7,"150,741",23155.45002,USA,187,490020
ABALONES,1964,"816,900",371,"573,911",1548.851969,USA,187,490020
ABALONES,1950,"791,000",359,"369,244",1029.132333,USA,187,490020
ABALONES,1976,"346,700",157,"1,454,133",9246.652746,USA,187,490020
ABALONES,1971,"589,920",268,"955,164",3569.596152,USA,187,490020
ABALONES,1956,"856,900",389,"480,584",1236.441076,USA,187,490020
ABALONES,2007,"1,154",1,"4,688",8956.040599,USA,187,490020
ABALONES,1970,"580,100",263,"947,516",3600.95709,USA,187,490020
ABALONES,1972,"620,700",282,"1,250,695",4442.25953,USA,187,490020
ABALONES,1963,"868,800",394,"625,734",1587.830722,USA,187,490020
ABALONES,1993,"34,852",16,"506,976",32069.63039,USA,187,490020
ABALONES,1961,"910,700",413,"606,899",1469.18114,USA,187,490020
ABALONES,1958,"845,100",383,"422,488",1102.149571,USA,187,490020
ABALONES,1978,"1,475,084",669,"1,732,908",2589.959744,USA,187,490020
ABALONES,1990,"68,386",31,"373,905",12053.92071,USA,187,490020
ABALONES,1986,"62,996",29,"202,661",7092.371344,USA,187,490020
ALEWIFE,1984,"9,456,211","4,289","813,524",189.6651221,USA,187,601583
ALEWIFE,1954,"52,225,100","23,689","664,708",28.05988488,USA,187,601583
ALEWIFE,1991,"13,457,373","6,104","375,970",61.59240493,USA,187,601583
ALEWIFE,1951,"57,696,700","26,171","765,521",29.2509782,USA,187,601583
ALEWIFE,1998,"1,168,850",530,"273,823",516.4703599,USA,187,601583
ALEWIFE,1966,"58,438,300","26,507","894,475",33.74464725,USA,187,601583
ALEWIFE,1958,"76,256,900","34,590","880,860",25.46607432,USA,187,601583
ALEWIFE,1987,"20,233,621","9,178","1,644,982",179.2345784,USA,187,601583
ALEWIFE,2004,"1,407,713",639,"300,029",469.8761186,USA,187,601583
ALEWIFE,2008,"1,412,957",641,"291,065",454.1457974,USA,187,601583
ALEWIFE,2007,"910,703",413,"198,266",479.9607652,USA,187,601583
ALEWIFE,2006,"1,536,907",697,"359,139",515.1684284,USA,187,601583
ALEWIFE,1969,"58,009,600","26,313","1,070,648",40.68938246,USA,187,601583
ALEWIFE,1983,"9,410,042","4,268","877,592",205.605796,USA,187,601583
ALEWIFE,1999,"1,346,266",611,"317,066",519.2219637,USA,187,601583
ALEWIFE,2005,"787,231",357,"210,966",590.8055146,USA,187,601583
ALEWIFE,1956,"53,516,300","24,275","670,510",27.62189303,USA,187,601583
ALEWIFE,1952,"46,363,600","21,030","743,937",35.37474095,USA,187,601583
ALEWIFE,1993,"1,829,532",830,"146,978",177.1114272,USA,187,601583
ALEWIFE,1989,"13,454,105","6,103","525,228",86.06514743,USA,187,601583
ALEWIFE,1970,"36,076,800","16,364","714,585",43.66768273,USA,187,601583
ALEWIFE,1980,"10,459,655","4,744","723,965",152.5929504,USA,187,601583
ALEWIFE,1971,"29,243,300","13,265","579,549",43.69160922,USA,187,601583
ALEWIFE,1976,"14,510,800","6,582","631,271",95.90886286,USA,187,601583
ALEWIFE,1995,"1,019,874",463,"193,824",418.9819282,USA,187,601583
ALEWIFE,1982,"13,055,215","5,922","1,008,455",170.2969048,USA,187,601583
ALEWIFE,1963,"57,043,600","25,875","802,941",31.03208585,USA,187,601583
ALEWIFE,1962,"52,303,400","23,724","800,920",33.75930342,USA,187,601583
ALEWIFE,2010,"1,899,783",862,"468,543",543.7255187,USA,187,601583
ALEWIFE,1990,"16,872,006","7,653","559,230",73.07317866,USA,187,601583
ALEWIFE,1997,"1,160,132",526,"230,296",437.6362098,USA,187,601583
ALEWIFE,2001,"1,580,916",717,"316,934",441.9715317,USA,187,601583
ALEWIFE,1965,"64,750,755","29,370","885,533",30.15047599,USA,187,601583
ALEWIFE,1977,"14,169,600","6,427","642,938",100.033569,USA,187,601583
ALEWIFE,1957,"57,543,700","26,101","693,570",26.57215493,USA,187,601583
ALEWIFE,2009,"1,657,004",752,"348,378",463.5124718,USA,187,601583
ALEWIFE,1964,"43,239,490","19,613","701,000",35.74141272,USA,187,601583
ALEWIFE,1974,"24,822,500","11,259","850,790",75.5633349,USA,187,601583
ALEWIFE,1955,"47,192,000","21,406","551,351",25.75692675,USA,187,601583
ALEWIFE,1953,"51,210,400","23,229","757,242",32.59948845,USA,187,601583
ALEWIFE,1985,"38,122,340","17,292","1,595,994",92.29665537,USA,187,601583
ALEWIFE,2000,"1,104,602",501,"228,830",456.710919,USA,187,601583
ALEWIFE,1973,"23,293,800","10,566","689,110",65.22025152,USA,187,601583
ALEWIFE,1988,"16,396,728","7,437","820,299",110.29333,USA,187,601583
ALEWIFE,1996,"1,024,057",465,"191,489",412.2436361,USA,187,601583
ALEWIFE,1981,"7,980,022","3,620","549,155",151.7138093,USA,187,601583
ALEWIFE,1979,"9,738,950","4,418","556,000",125.8626626,USA,187,601583
ALEWIFE,1994,"970,237",440,"139,071",316.0043089,USA,187,601583
ALEWIFE,1975,"23,627,700","10,717","802,101",74.84139419,USA,187,601583
ALEWIFE,1960,"53,596,500","24,311","639,582",26.30837733,USA,187,601583
ALEWIFE,1972,"28,022,300","12,711","605,642",47.6481964,USA,187,601583
ALEWIFE,1961,"56,292,100","25,534","717,098",28.08441101,USA,187,601583
ALEWIFE,2002,"2,053,563",931,"361,160",387.7268465,USA,187,601583
ALEWIFE,2003,"1,675,935",760,"384,968",506.4093545,USA,187,601583
ALEWIFE,1967,"59,232,500","26,867","1,104,086",41.09387536,USA,187,601583
ALEWIFE,1968,"57,371,900","26,023","934,949",35.92716497,USA,187,601583
ALEWIFE,1992,"4,344,133","1,970","294,672",149.5443526,USA,187,601583
ALEWIFE,1950,"47,326,500","21,467","757,043",35.26553038,USA,187,601583
ALEWIFE,1959,"51,142,500","23,198","663,609",28.60648997,USA,187,601583
ALEWIFE,1986,"28,348,060","12,858","1,291,139",100.4116066,USA,187,601583
ALEWIFE,1978,"12,652,853","5,739","549,983",95.82858217,USA,187,601583
ALFONSIN,2002,11,0,32,6413.447627,USA,187,501129
ALFONSIN,2003,33,0,122,8150.423026,USA,187,501129
ALFONSIN,2005,18,0,86,10533.19697,USA,187,501129
ALFONSIN,2009,40,0,13,716.5023521,USA,187,501129
ALFONSIN,2004,27,0,118,9635.017384,USA,187,501129
ALFONSIN,2008,38,0,178,10326.91649,USA,187,501129
ALFONSIN,2006,3,0,7,5144.119451,USA,187,501129
ALFONSIN,2010,27,0,154,12574.51421,USA,187,501129
AMBERJACK,1982,"426,377",193,"109,169",564.468644,USA,187,500928
AMBERJACK,1993,"1,483,053",673,"1,057,899",1572.612757,USA,187,500928
AMBERJACK,1981,"356,204",162,"81,647",505.3307184,USA,187,500928
AMBERJACK,1969,"98,900",45,"5,765",128.5101053,USA,187,500928
AMBERJACK,2007,"205,712",93,"171,869",1841.92602,USA,187,500928
AMBERJACK,1951,"52,700",24,"2,322",97.13726239,USA,187,500928
AMBERJACK,1979,"224,393",102,"42,658",419.1075114,USA,187,500928
AMBERJACK,1955,"21,800",10,"1,314",132.8841342,USA,187,500928
AMBERJACK,1953,"81,000",37,"3,954",107.618245,USA,187,500928
AMBERJACK,1961,"13,600",6,606,98.23539036,USA,187,500928
AMBERJACK,1962,"18,100",8,559,68.08751633,USA,187,500928
AMBERJACK,1963,"20,100",9,817,89.6107802,USA,187,500928
AMBERJACK,1990,"3,003,374","1,362","1,869,621",1372.392766,USA,187,500928
AMBERJACK,1995,"1,200,628",545,"992,001",1821.5366,USA,187,500928
AMBERJACK,1974,"93,200",42,"8,149",192.7625509,USA,187,500928
AMBERJACK,1970,"59,400",27,"4,122",152.9874486,USA,187,500928
AMBERJACK,2001,"259,988",118,"166,228",1409.565092,USA,187,500928
AMBERJACK,2008,"193,190",88,"157,366",1795.810567,USA,187,500928
AMBERJACK,1952,"85,200",39,"5,299",137.1161417,USA,187,500928
AMBERJACK,2004,"231,009",105,"161,791",1544.044165,USA,187,500928
AMBERJACK,1966,"30,000",14,"1,574",115.6692002,USA,187,500928
AMBERJACK,1971,"69,400",31,"5,781",183.6444291,USA,187,500928
AMBERJACK,2010,"83,810",38,"61,710",1623.281971,USA,187,500928
AMBERJACK,1965,"16,700",8,853,112.607371,USA,187,500928
AMBERJACK,1980,"264,194",120,"56,454",471.0923242,USA,187,500928
AMBERJACK,2000,"289,185",131,"214,970",1638.839238,USA,187,500928
AMBERJACK,1999,"450,344",204,"381,333",1866.784854,USA,187,500928
AMBERJACK,1977,"197,100",89,"23,044",257.7540522,USA,187,500928
AMBERJACK,1987,"3,156,653","1,432","1,666,090",1163.605789,USA,187,500928
AMBERJACK,2002,"261,535",119,"180,540",1521.871138,USA,187,500928
AMBERJACK,1957,"79,100",36,"3,986",111.0951425,USA,187,500928
AMBERJACK,1973,"76,000",34,"6,073",176.1667524,USA,187,500928
AMBERJACK,1954,"109,400",50,"6,601",133.0229792,USA,187,500928
AMBERJACK,1975,"144,900",66,"18,090",275.235495,USA,187,500928
AMBERJACK,1976,"162,200",74,"17,430",236.9085838,USA,187,500928
AMBERJACK,1991,"3,164,244","1,435","2,109,058",1469.443247,USA,187,500928
AMBERJACK,1984,"763,124",346,"347,684",1004.439661,USA,187,500928
AMBERJACK,1986,"1,787,229",811,"853,492",1052.818509,USA,187,500928
AMBERJACK,1998,"409,471",186,"346,842",1867.423381,USA,187,500928
AMBERJACK,1989,"3,515,800","1,595","2,459,964",1542.548576,USA,187,500928
AMBERJACK,2006,"179,889",82,"144,913",1775.975618,USA,187,500928
AMBERJACK,1956,"9,200",4,409,98.00985351,USA,187,500928
AMBERJACK,2005,"216,170",98,"148,642",1515.934291,USA,187,500928
AMBERJACK,1968,"40,600",18,"2,355",127.8789723,USA,187,500928
AMBERJACK,1972,"56,100",25,"3,033",119.1910947,USA,187,500928
AMBERJACK,1992,"1,023,335",464,"709,000",1527.434749,USA,187,500928
AMBERJACK,1994,"1,089,637",494,"789,741",1597.854032,USA,187,500928
AMBERJACK,1960,"57,300",26,"2,287",87.99252943,USA,187,500928
AMBERJACK,1988,"3,647,874","1,655","2,124,936",1284.22253,USA,187,500928
AMBERJACK,1985,"1,007,842",457,"498,841",1091.198971,USA,187,500928
AMBERJACK,1967,"55,900",25,"2,982",117.6061656,USA,187,500928
AMBERJACK,2003,"284,001",129,"191,213",1484.334581,USA,187,500928
AMBERJACK,1959,"65,500",30,"3,010",101.3116655,USA,187,500928
AMBERJACK,1964,"17,300",8,721,91.88051505,USA,187,500928
AMBERJACK,1950,"44,800",20,"1,955",96.20618807,USA,187,500928
AMBERJACK,1983,"426,485",193,"142,273",735.449721,USA,187,500928
AMBERJACK,1958,"55,200",25,"2,425",96.85162786,USA,187,500928
AMBERJACK,1997,"804,481",365,"687,030",1882.75656,USA,187,500928
AMBERJACK,1978,"203,969",93,"29,023",313.6984657,USA,187,500928
AMBERJACK,1996,"970,483",440,"794,946",1805.859489,USA,187,500928
AMBERJACK,2009,"154,260",70,"112,817",1612.335734,USA,187,500928
"AMBERJACK, GREATER",1999,"1,211,358",549,"1,253,406",2281.148283,USA,187,601005
"AMBERJACK, GREATER",2010,"1,499,993",680,"1,511,549",2221.607114,USA,187,601005
"AMBERJACK, GREATER",2006,"1,028,371",466,"1,095,435",2348.394482,USA,187,601005
"AMBERJACK, GREATER",2009,"1,378,844",625,"1,384,020",2212.898487,USA,187,601005
"AMBERJACK, GREATER",1994,"2,089,146",948,"1,904,923",2010.216777,USA,187,601005
"AMBERJACK, GREATER",2007,"1,081,805",491,"1,145,131",2333.675392,USA,187,601005
"AMBERJACK, GREATER",1995,"1,765,599",801,"1,734,223",2165.444847,USA,187,601005
"AMBERJACK, GREATER",2002,"1,343,351",609,"1,267,532",2080.193279,USA,187,601005
"AMBERJACK, GREATER",2008,"1,079,661",490,"1,168,978",2387.004202,USA,187,601005
"AMBERJACK, GREATER",2000,"1,412,338",641,"1,472,651",2298.769635,USA,187,601005
"AMBERJACK, GREATER",2004,"1,646,785",747,"1,465,590",1962.049004,USA,187,601005
"AMBERJACK, GREATER",2003,"1,432,252",650,"1,273,785",1960.699113,USA,187,601005
"AMBERJACK, GREATER",1992,"2,669,161","1,211","1,535,994",1268.670987,USA,187,601005
"AMBERJACK, GREATER",1996,"1,713,918",777,"1,683,605",2165.630835,USA,187,601005
"AMBERJACK, GREATER",2005,"1,410,703",640,"1,289,774",2015.63684,USA,187,601005
"AMBERJACK, GREATER",1998,"1,433,604",650,"1,459,194",2243.975395,USA,187,601005
"AMBERJACK, GREATER",1997,"1,608,249",729,"1,603,836",2198.573186,USA,187,601005
"AMBERJACK, GREATER",2001,"1,240,814",563,"1,184,929",2105.328662,USA,187,601005
"AMBERJACK, GREATER",1993,"1,969,378",893,"1,561,998",1748.58058,USA,187,601005
"AMBERJACK, LESSER",2000,"47,626",22,"53,348",2469.495814,USA,187,500928
"AMBERJACK, LESSER",1999,"39,032",18,"39,554",2234.106456,USA,187,500928
"AMBERJACK, LESSER",1992,"29,708",13,"14,751",1094.667709,USA,187,500928
"AMBERJACK, LESSER",2007,"31,388",14,"38,785",2724.171288,USA,187,500928
"AMBERJACK, LESSER",2008,"25,040",11,"33,337",2935.123975,USA,187,500928
"AMBERJACK, LESSER",2010,"40,846",19,"47,713",2575.262184,USA,187,500928
"AMBERJACK, LESSER",2006,"42,976",19,"50,980",2615.219221,USA,187,500928
"AMBERJACK, LESSER",2003,"73,805",33,"74,328",2220.245109,USA,187,500928
"AMBERJACK, LESSER",1993,"30,495",14,"23,898",1727.695406,USA,187,500928
"AMBERJACK, LESSER",2002,"112,967",51,"114,157",2227.846226,USA,187,500928
"AMBERJACK, LESSER",2001,"49,983",23,"54,361",2397.725033,USA,187,500928
"AMBERJACK, LESSER",2004,"68,784",31,"74,431",2385.616806,USA,187,500928
"AMBERJACK, LESSER",1996,"74,934",34,"79,736",2345.901585,USA,187,500928
"AMBERJACK, LESSER",1997,"59,206",27,"61,375",2285.388532,USA,187,500928
"AMBERJACK, LESSER",1991,"28,673",13,"11,579",890.2914009,USA,187,500928
"AMBERJACK, LESSER",1998,"30,388",14,"30,936",2244.379539,USA,187,500928
"AMBERJACK, LESSER",2009,"53,821",24,"64,206",2630.014308,USA,187,500928
"AMBERJACK, LESSER",1994,"37,172",17,"26,739",1585.85506,USA,187,500928
"AMBERJACK, LESSER",1995,"64,650",29,"69,499",2369.977844,USA,187,500928
"AMBERJACK, LESSER",2005,"49,797",23,"55,999",2479.198791,USA,187,500928
ANCHOVIES,1980,"94,677,733","42,945","2,846,836",66.29012807,USA,187,400454
ANCHOVIES,1975,"329,355,600","149,393","11,903,055",79.67602288,USA,187,400454
ANCHOVIES,1971,"89,905,800","40,781","1,104,136",27.0750408,USA,187,400454
ANCHOVIES,1970,"192,939,100","87,516","2,172,553",24.82472185,USA,187,400454
ANCHOVIES,1955,"44,713,100","20,282","596,960",29.43368991,USA,187,400454
ANCHOVIES,1972,"149,921,700","68,003","4,658,120",68.49840101,USA,187,400454
ANCHOVIES,1976,"263,514,100","119,528","6,628,111",55.45237788,USA,187,400454
ANCHOVIES,1965,"5,733,700","2,601","98,945",38.04461087,USA,187,400454
ANCHOVIES,1998,"4,625",2,"2,396",1142.113687,USA,187,400454
ANCHOVIES,1967,"69,625,500","31,582","704,136",22.29577029,USA,187,400454
ANCHOVIES,1953,"86,043,000","39,028","1,710,920",43.83776642,USA,187,400454
ANCHOVIES,1968,"31,453,800","14,267","297,455",20.84886475,USA,187,400454
ANCHOVIES,1951,"6,958,400","3,156","143,852",45.57647928,USA,187,400454
ANCHOVIES,1958,"11,605,500","5,264","150,442",28.57850472,USA,187,400454
ANCHOVIES,1973,"277,712,600","125,968","12,862,591",102.1097318,USA,187,400454
ANCHOVIES,1979,"107,761,893","48,880","2,872,623",58.76891611,USA,187,400454
ANCHOVIES,1964,"5,048,900","2,290","84,044",36.69815279,USA,187,400454
ANCHOVIES,2008,"54,448",25,"15,069",610.1502037,USA,187,400454
ANCHOVIES,2007,"81,715",37,"24,018",647.9915087,USA,187,400454
ANCHOVIES,1974,"176,739,500","80,168","14,734,332",183.7938981,USA,187,400454
ANCHOVIES,1978,"25,275,058","11,465","697,770",60.86314527,USA,187,400454
ANCHOVIES,1966,"62,284,600","28,252","644,456",22.81113271,USA,187,400454
ANCHOVIES,1977,"223,270,900","101,274","5,131,531",50.66978871,USA,187,400454
ANCHOVIES,2002,"31,629",14,"7,793",543.1921367,USA,187,400454
ANCHOVIES,1960,"5,085,900","2,307","75,667",32.79993313,USA,187,400454
ANCHOVIES,1959,"7,213,800","3,272","102,939",31.45937621,USA,187,400454
ANCHOVIES,1997,29,0,14,1064.300576,USA,187,400454
ANCHOVIES,2010,"66,468",30,"20,386",676.1665278,USA,187,400454
ANCHOVIES,1962,"2,795,000","1,268","52,455",41.37512688,USA,187,400454
ANCHOVIES,2001,"181,426",82,"38,654",469.7093185,USA,187,400454
ANCHOVIES,1963,"4,653,700","2,111","79,919",37.86046271,USA,187,400454
ANCHOVIES,1994,300,0,90,661.3867866,USA,187,400454
ANCHOVIES,2004,153,0,59,850.1485927,USA,187,400454
ANCHOVIES,1996,"1,740",1,96,121.6343516,USA,187,400454
ANCHOVIES,1961,"7,781,900","3,530","116,895",33.116509,USA,187,400454
ANCHOVIES,1956,"56,893,100","25,806","721,516",27.95893519,USA,187,400454
ANCHOVIES,1957,"40,554,700","18,395","508,941",27.6669003,USA,187,400454
ANCHOVIES,1999,"58,873",27,"17,688",662.3641556,USA,187,400454
ANCHOVIES,2009,"1,277",1,713,1230.928684,USA,187,400454
ANCHOVIES,1987,"1,800",1,913,1118.233585,USA,187,400454
ANCHOVIES,1954,"42,421,600","19,242","851,100",44.23110664,USA,187,400454
ANCHOVIES,1986,100,0,10,220.4622622,USA,187,400454
ANCHOVIES,1969,"135,641,600","61,526","1,364,020",22.16981626,USA,187,400454
ANCHOVIES,1995,36,0,22,1347.26938,USA,187,400454
ANCHOVIES,1952,"55,792,100","25,307","1,153,404",45.57671338,USA,187,400454
ANCHOVIES,1950,"5,052,700","2,292","117,633",51.32629542,USA,187,400454
"ANCHOVY, NORTHERN",1998,"3,491,304","1,584","245,134",154.7925823,USA,187,400454
"ANCHOVY, NORTHERN",2001,"42,630,870","19,337","1,433,052",74.10918092,USA,187,400454
"ANCHOVY, NORTHERN",1999,"11,709,286","5,311","959,397",180.6351241,USA,187,400454
"ANCHOVY, NORTHERN",1994,"4,097,270","1,858","550,318",296.1102178,USA,187,400454
"ANCHOVY, NORTHERN",1986,"3,433,498","1,557","234,517",150.5815595,USA,187,400454
"ANCHOVY, NORTHERN",1995,"4,443,577","2,016","368,175",182.6652118,USA,187,400454
"ANCHOVY, NORTHERN",2004,"15,473,598","7,019","819,169",116.7122545,USA,187,400454
"ANCHOVY, NORTHERN",1982,"92,935,129","42,155","2,164,778",51.35322457,USA,187,400454
"ANCHOVY, NORTHERN",1988,"3,347,011","1,518","417,078",274.7226089,USA,187,400454
"ANCHOVY, NORTHERN",2006,"28,553,283","12,952","1,334,990",103.0756832,USA,187,400454
"ANCHOVY, NORTHERN",1981,"115,320,394","52,308","3,273,442",62.57960135,USA,187,400454
"ANCHOVY, NORTHERN",2008,"32,232,019","14,620","1,656,993",113.3358805,USA,187,400454
"ANCHOVY, NORTHERN",1983,"9,765,523","4,430","417,296",94.20695662,USA,187,400454
