"TaxonKey","TaxonName","CommonName","TargetGrpNum","ISSCAAP","ClaCode","OrdCode","FamCode","GenCode","SpeCode"
400314,"Carangidae","Jacks, pompanos",2,37,6,60,314,NA,NA
400317,"Menidae","Moonfishes",17,39,6,60,317,NA,NA
400318,"Leiognathidae","Slipmouths, ponyfishes",13,33,6,60,318,NA,NA
400319,"Bramidae","Pomfrets",2,37,6,60,319,NA,NA
400323,"Lutjanidae","Snappers",17,33,6,60,323,NA,NA
400324,"Nemipteridae","Threadfins, whiptail breams",16,33,6,60,324,NA,NA
400326,"Gerreidae","Mojarras, silverbellies",13,33,6,60,326,NA,NA
400327,"Haemulidae","Grunts, sweetlips, bonnetmouths",17,33,6,60,327,NA,NA
400328,"Lethrinidae","Emperors, scavengers",17,33,6,60,328,NA,NA
400330,"Sparidae","Porgies, seabreams",14,33,6,60,330,NA,NA
400331,"Sciaenidae","Drums, croakers",5,33,6,60,331,NA,NA
400332,"Mullidae","Goatfishes",17,33,6,60,332,NA,NA
400334,"Pempheridae","Sweepers",16,39,6,60,334,NA,NA
400339,"Kyphosidae","Sea chubs, knifefishes, niblers",17,39,6,60,339,NA,NA
400340,"Ephippidae","Spade-, batfishes, scats",17,33,6,60,340,NA,NA
400343,"Chaetodontidae","Butterflyfishes",16,39,6,60,343,NA,NA
400350,"Pomacentridae","Damselfishes",16,39,6,60,350,NA,NA
400352,"Cirrhitidae","Hawkfishes",16,39,6,60,352,NA,NA
400356,"Latridae","Trumpeters",5,34,6,60,356,NA,NA
400359,"Mugilidae","Mullets, grey mullets",17,33,6,63,359,NA,NA
400360,"Sphyraenidae","Barracudas",17,39,6,60,360,NA,NA
400361,"Polynemidae","Threadfins",4,33,6,60,361,NA,NA
400362,"Labridae","Wrasses, gropers, tuskfishes",17,33,6,60,362,NA,NA
400364,"Scaridae","Parrotfishes",17,33,6,60,364,NA,NA
400371,"Pinguipedidae","Sandperches",5,39,6,60,371,NA,NA
400377,"Trachinidae","Weeverfishes",5,39,6,60,377,NA,NA
400382,"Nototheniidae","Cod icefishes",18,33,6,60,382,NA,NA
400383,"Bathydraconidae","Antarctic dragonfishes",5,39,6,60,383,NA,NA
400384,"Channichthyidae","Crocodile icefishes",5,34,6,60,384,NA,NA
400392,"Blenniidae","Combtooth blennies",4,39,6,60,392,NA,NA
400396,"Anarhichadidae","Wolffishes, wolfeels",6,39,6,60,396,NA,NA
400402,"Ammodytidae","Sand lances",18,39,6,60,402,NA,NA
400405,"Gobiidae","Gobies",16,33,6,60,405,NA,NA
400412,"Acanthuridae","Surgeons, tangs, unicornfishes",16,33,6,60,412,NA,NA
400413,"Siganidae","Rabbitfishes",17,39,6,60,413,NA,NA
400414,"Gempylidae","Snake mackerels",15,37,6,60,414,NA,NA
400415,"Trichiuridae","Cutlassfishes",15,34,6,60,415,NA,NA
400416,"Scombridae","Mackerels, tunas, bonitos",3,36,6,60,416,NA,NA
400417,"Xiphiidae","Swordfishes",3,36,6,60,417,NA,NA
400419,"Istiophoridae","Billfishes",3,36,6,60,419,NA,NA
400421,"Centrolophidae","Medusafishes",2,34,6,60,421,NA,NA
400425,"Stromateidae","Butterfishes",14,37,6,60,425,NA,NA
400437,"Psettodidae","Turbots, Indian halibuts",23,31,6,61,437,NA,NA
400439,"Bothidae","Lefteye flounders",23,31,6,61,439,NA,NA
400440,"Pleuronectidae","Righteye flounders",23,31,6,61,440,NA,NA
400441,"Soleidae","Soles",23,31,6,61,441,NA,NA
400442,"Cynoglossidae","Tonguefishes",18,31,6,61,442,NA,NA
400444,"Triacanthidae","Triplespines",4,39,6,62,444,NA,NA
400445,"Balistidae","Triggerfishes",17,33,6,62,445,NA,NA
400446,"Ostraciidae","Box-, cow-, trunkfishes",17,33,6,62,446,NA,NA
400448,"Tetraodontidae","Puffers, tobies",18,33,6,62,448,NA,NA
400449,"Diodontidae","Porcupine-, burrfishes",17,39,6,62,449,NA,NA
400454,"Engraulidae","Anchovies, round herrings",1,35,6,28,454,NA,NA
400459,"Caesionidae","Fusiliers",17,39,6,60,459,NA,NA
400460,"Pomacanthidae","Angelfishes",16,33,6,60,460,NA,NA
400475,"Hemiramphidae","Halfbeaks, garfishes",17,39,6,51,475,NA,NA
400479,"Inermiidae","Bonnetmouths",1,39,6,60,479,NA,NA
400488,"Triakidae","Houndsharks",20,38,4,8,488,NA,NA
400500,"Urolophidae","Round rays",21,38,4,14,500,NA,NA
400504,"Muraenesocidae","Pike congers",6,33,6,26,504,NA,NA
400509,"Ambassidae","Asiatic glassfishes",4,33,6,60,509,NA,NA
400514,"Paralichthyidae","Largetooth flounders",18,31,6,61,514,NA,NA
400515,"Scophthalmidae","Turbots",23,31,6,61,515,NA,NA
400517,"Monacanthidae","Filefishes",18,39,6,62,517,NA,NA
400573,"Sebastidae","Rockfishes, rockcods, thornyheads",5,33,6,59,573,NA,NA
400578,"Synanceiidae","Stonefishes",5,39,6,59,578,NA,NA
400581,"Peristediidae","Armored searobins, gurnards",11,39,6,59,581,NA,NA
400585,"Hemitripteridae","Sea ravens, sailfin sculpins",4,39,6,59,585,NA,NA
400591,"Artedidraconidae","Barbled plunderfishes",4,39,6,60,591,NA,NA
400595,"Centriscidae","Snipefishes, shrimpfishes",13,39,6,57,256,NA,NA
400627,"Lateolabracidae","Asian seaperches",6,33,6,60,627,NA,NA
400631,"Latidae","Lates perches",6,33,6,60,631,NA,NA
400669,"Urotrygonidae","American round stingrays",21,38,4,14,669,NA,NA
490004,"Ommastrephidae","Arrow squids",25,57,901063,910267,901920,NA,NA
490010,"Loliginidae","Common pencil squids",25,57,901063,910267,901915,NA,NA
490011,"Sepiidae","Cuttlefishes",25,57,901063,910264,901897,NA,NA
490012,"Octopodidae","Octopuses",25,57,901063,910263,901890,NA,NA
490020,"Haliotidae","Abalones, ear shells",29,52,901064,910286,902757,NA,NA
490021,"Buccinidae","Buccinidae",29,52,901064,910280,901998,NA,NA
490023,"Littorinidae","Littorinidae",29,52,901064,910281,902050,NA,NA
490030,"Palaemonidae","Clawed shrimps",26,45,901009,910032,900459,NA,NA
490031,"Portunidae","Swimming crabs",27,42,901009,910032,900473,NA,NA
490036,"Lithodidae","Stone/king crabs",27,44,901009,910032,900448,NA,NA
490037,"Xanthidae","Xanthidae",27,42,901009,910032,900494,NA,NA
490038,"Nephropidae","Clawed lobsters",27,43,901009,910032,900010,NA,NA
490039,"Palinuridae","Spiny lobsters",27,43,901009,910032,900013,NA,NA
490040,"Scyllaridae","Slipper lobsters",27,43,901009,910032,900015,NA,NA
490041,"Sergestidae","Sergestid shrimp",26,45,901009,910032,900482,NA,NA
490042,"Aristeidae","Aristeid shrimps",26,45,901009,910032,900395,NA,NA
490043,"Penaeidae","Commercial shrimps and prawns",26,45,901009,910032,900009,NA,NA
490044,"Crangonidae","Brown shrimps",26,45,901009,910032,900413,NA,NA
490046,"Pandalidae","Northern shrimps",26,45,901009,910032,900461,NA,NA
490052,"Squillidae","Squilla mantis shrimps",26,47,901009,910038,900627,NA,NA
490054,"Mytilidae","Sea mussels",29,54,901062,910251,901813,NA,NA
490055,"Pectinidae","Scallops",29,55,901062,910253,901460,NA,NA
490056,"Arcidae","Ark clams",29,56,901062,910248,901798,NA,NA
490058,"Cardiidae","Cockles",29,56,901062,910261,901849,NA,NA
490060,"Veneridae","Venus clams",29,56,901062,910261,901881,NA,NA
490061,"Solenidae","Razor, knife clams",29,56,901062,910261,901874,NA,NA
490062,"Tridacnidae","Giant clams",29,56,901062,910261,902759,NA,NA
490063,"Mactridae","Mactra surf clams",29,56,901062,910261,901865,NA,NA
490071,"Rhizostomatidae","Rhizostomatid jellyfishes",28,77,901038,910180,901570,NA,NA
490097,"Brachyura","Marine crabs",27,42,901009,910032,900457,NA,NA
490109,"Pteriidae","Pearl oysters",29,81,901062,910256,901841,NA,NA
490124,"Galatheidae","Squat lobsters",27,44,901009,910032,900429,NA,NA
490125,"Tellinidae","Tellin clams",29,56,901062,910261,901876,NA,NA
490132,"Holothuriidae","Fleshy sea cucumbers",29,76,901046,910214,900101,NA,NA
490133,"Cassidae","Helmet shells",29,52,901064,910281,902035,NA,NA
490134,"Conidae","Cone shells",29,52,901064,910280,902001,NA,NA
490135,"Cypraeidae","Cowrys",29,52,901064,910281,902038,NA,NA
490137,"Diogenidae","Hermit crabs",27,44,901009,910032,900420,NA,NA
490138,"Diadematidae","Diadematid sea urchins",29,76,901045,910205,901651,NA,NA
490141,"Lysiosquillidae","Lysiosquillid mantis shrimps",26,47,901009,910038,900622,NA,NA
490142,"Neritidae","Nerites snails",29,52,901064,910282,902080,NA,NA
490143,"Ostreidae","True oysters",29,56,901062,910253,901824,NA,NA
490146,"Terebridae","Augur shells",29,52,901064,910280,902017,NA,NA
490148,"Toxopneustidae","Flower sea urchins",29,76,901045,910212,901668,NA,NA
490152,"Chitonidae","Chitons",29,52,901066,910296,902218,NA,NA
490159,"Carditidae","Cardita clams",29,56,901062,910261,901851,NA,NA
500036,"Pseudohemiodon","Falsetooth catfishes",4,13,6,32,157,654,NA
500048,"Paralichthys","Paralichthyid flounders",18,31,6,61,514,665,NA
500099,"Brotula","Brotulas",15,34,6,45,186,2662,NA
500107,"Squalus","Dogfishes",20,38,4,9,13,128,NA
500108,"Raja","Stingrays, skates",21,38,4,14,19,1309,NA
500112,"Lophius","Frogfishes",11,34,6,47,190,2156,NA
500114,"Trichiurus","Hairtails",15,34,6,60,415,1874,NA
500116,"Coryphaena","Dolphinfishes",3,39,6,60,315,6651,NA
500122,"Trachinus","Weevers",5,39,6,60,377,7188,NA
500124,"Ammodytes","Sand eels",18,39,6,60,402,5436,NA
500125,"Uranoscopus","Stargazers",5,39,6,60,378,1955,NA
500134,"Scorpaena","Scorpionfishes",18,34,6,59,264,4531,NA
500136,"Salmo","Trouts",6,23,6,36,76,6009,NA
500142,"Scomber","Chub mackerels",2,36,6,60,416,1425,NA
500143,"Mullus","Atlantic goatfishes",5,33,6,60,332,2801,NA
500144,"Trigla","Piper gurnards",11,34,6,59,266,1603,NA
500147,"Argentina","Argentines",2,23,6,35,83,302,NA
500152,"Mugil","Grey mullets",5,33,6,63,359,3595,NA
500153,"Polynemus","Paradise fishes",4,33,6,60,361,1328,NA
500154,"Diodon","Porcupinefishes",17,39,6,62,449,822,NA
500158,"Coryphaenoides","Grenadiers",9,32,6,44,185,4217,NA
500211,"Trachipterus","Ribbonfishes",9,39,6,41,225,3623,NA
500240,"Siganus","Spinefoots",17,39,6,60,413,3273,NA
500242,"Scarus","Parrots",17,33,6,60,364,4784,NA
500327,"Macrourus","Rattails",14,32,6,44,185,4406,NA
500348,"Mustelus","Smoothhounds",20,38,4,8,488,6505,NA
500351,"Rhinobatos","Guitarfishes",22,38,4,14,17,1540,NA
500352,"Alosa","Shads",2,24,6,28,43,4924,NA
500357,"Lutjanus","Snappers",17,33,6,60,323,1202,NA
500358,"Mola","Sunfishes",3,39,6,62,450,1161,NA
500366,"Epinephelus","Seabasses, hinds",17,33,6,60,289,7755,NA
500372,"Sphyraena","Barracudas, sennets",3,39,6,60,360,997,NA
500384,"Gymnothorax","Morays",18,33,6,26,56,3758,NA
500391,"Lampris","Opahs",3,39,6,41,222,4375,NA
500398,"Odontognathus","Longfin herrings",1,35,6,28,43,544,NA
500442,"Cephalopholis","Hinds",17,33,6,60,289,6535,NA
500467,"Caranx","Jacks",3,37,6,60,314,3864,NA
500468,"Scomberoides","Queenfishes",17,37,6,60,314,7487,NA
500475,"Caesio","Caesios",17,39,6,60,459,4855,NA
500476,"Plectorhinchus","Sweetlips",17,33,6,60,327,3342,NA
500477,"Kyphosus","Sea chubs",17,39,6,60,339,6764,NA
500480,"Naso","Unicornfishes",17,33,6,60,412,9831,NA
500487,"Scomberomorus","Spanish mackerels",3,36,6,60,416,2960,NA
500488,"Istiophorus","Sailfishes",3,36,6,60,419,3516,NA
500495,"Prionotus","Saw-back searobins",18,34,6,59,266,3789,NA
500504,"Centropomus","Fat snooks",18,33,6,60,287,549,NA
500508,"Cheilinus","Wrasses",17,33,6,60,362,1522,NA
500515,"Leiognathus","Ponyfishes",13,33,6,60,318,4498,NA
500516,"Pomadasys","Grunters",5,33,6,60,327,3076,NA
500537,"Achirus","Soles",23,31,6,61,516,188,NA
500538,"Makaira","Blue marlins",3,36,6,60,419,189,NA
500551,"Plotosus","Eel catfishes",17,39,6,32,149,8595,NA
500598,"Trachinotus","Pompanos",14,37,6,60,314,2819,NA
500618,"Solea","Soles",23,31,6,61,441,579,NA
500638,"Isurus","Mako sharks",20,38,4,7,9,6652,NA
500639,"Alopias","Thresher sharks",20,38,4,7,486,6653,NA
500640,"Galeus","Sawtail catsharks",19,38,4,8,10,7260,NA
500642,"Etmopterus","Lanternsharks",19,38,4,9,557,4127,NA
500646,"Dasyatis","Rough whip stingrays",22,38,4,14,20,1943,NA
500654,"Merluccius","Hakes",11,32,6,44,184,1339,NA
500657,"Hippocampus","Seahorses",16,39,6,57,258,5566,NA
500661,"Trachurus","Jacks, horse mackerels",2,37,6,60,314,3831,NA
500679,"Spicara","Picarels",4,39,6,60,461,3883,NA
500686,"Gaidropsarus","Rocklings",18,32,6,44,505,8034,NA
500693,"Sphyrna","Hammerhead sharks",20,38,4,8,12,30,NA
500705,"Diplodus","Two-toothed seabreams",14,33,6,60,330,6472,NA
500716,"Epigonus","Deepwater cardinalfishes",18,39,6,60,507,3783,NA
500717,"Myoxocephalus","Grubbies and sculpins",18,39,6,59,277,2965,NA
500732,"Ogcocephalus","Batfishes",18,39,6,47,194,2857,NA
500737,"Morone","Basses",6,33,6,60,487,5103,NA
500808,"Scolopsis","Monocle breams",16,33,6,60,324,1166,NA
500809,"Dentex","Toothed seabreams",15,33,6,60,330,1038,NA
500814,"Scyliorhinus","Catsharks",20,38,4,8,10,694,NA
500816,"Carcharhinus","Sharp-nosed sharks",20,38,4,8,11,1358,NA
500854,"Aluterus","Aluterid filefishes",18,39,6,62,517,5905,NA
500856,"Chirocentrus","Wolf herrings",15,35,6,28,45,9307,NA
500871,"Belone","Garfishes",2,37,6,51,207,4400,NA
500891,"Sillago","Smelt-whitings",5,33,6,60,307,2493,NA
500901,"Serranus","Groupers",16,33,6,60,289,5359,NA
500903,"Pagrus","Subtropical seabreams",14,33,6,60,330,480,NA
500912,"Priacanthus","Bigeyes",17,33,6,60,303,5555,NA
500913,"Terapon","Terapons",5,33,6,60,299,3810,NA
500928,"Seriola","Amberjacks",15,37,6,60,314,7464,NA
500934,"Platax","Spadefishes",17,33,6,60,340,5641,NA
500983,"Dorosoma","Gizzard shads",1,24,6,28,43,3494,NA
501026,"Cynoglossus","Tonguesoles",18,31,6,61,442,1404,NA
501055,"Gerres","Silver biddies",13,33,6,60,326,2344,NA
501096,"Molva","Lings",6,32,6,44,505,5014,NA
501116,"Etelis","Snappers",12,33,6,60,323,9802,NA
501129,"Beryx","Alfonsinos",14,39,6,53,240,5307,NA
501130,"Myripristis","Soldierfishes",16,33,6,53,243,5158,NA
501132,"Upeneus","Upeneid goatfishes",16,33,6,60,332,1675,NA
501135,"Sebastes","Redfishes",18,33,6,59,573,2902,NA
501143,"Haemulon","Grunts",16,33,6,60,327,1239,NA
501144,"Lethrinus","Emperors",17,33,6,60,328,4481,NA
501145,"Pagellus","Pandoras",14,33,6,60,330,5351,NA
501163,"Auxis","Bullet and frigate tunas",2,36,6,60,416,220,NA
501164,"Peprilus","Harvestfishes",13,37,6,60,425,2567,NA
501241,"Drepane","Sicklefishes",17,13,6,60,510,4839,NA
501242,"Scatophagus","Scats",5,39,6,60,341,3563,NA
501327,"Micropogonias","American croakers",5,33,6,60,331,124,NA
501345,"Tylosurus","Needlefishes",3,37,6,51,207,1044,NA
501410,"Salvelinus","Chars",15,23,6,36,76,2210,NA
501418,"Microchirus","Soles",18,31,6,61,441,2425,NA
501441,"Himantura","Whiprays",22,38,4,14,20,1187,NA
501464,"Pristiophorus","Sawsharks",20,38,4,10,14,804,NA
501486,"Lycodes","Eelpouts",11,39,6,60,188,6115,NA
501523,"Nemadactylus","Porae",5,39,6,60,355,2944,NA
501548,"Chrysoblephus","Golden seabreams",5,33,6,60,330,2695,NA
501550,"Lithognathus","Steenbrases",15,33,6,60,330,5546,NA
501551,"Calamus","Porgies",17,33,6,60,330,2964,NA
501552,"Nemipterus","Threadfin breams",4,33,6,60,324,1316,NA
501573,"Alepes","Crevalles",17,37,6,60,314,1495,NA
501634,"Cypselurus","Cypselurid flyingfishes",1,37,6,51,206,4432,NA
501637,"Lepidion","Codlings",14,32,6,44,180,2918,NA
501654,"Lactophrys","Cowfishes",17,33,6,62,446,1405,NA
501677,"Cantherhines","Mideye spined filefishes",17,39,6,62,517,508,NA
501682,"Arius","Sea catfishes",5,33,6,32,145,74,NA
501826,"Muraenesox","Congers",6,33,6,26,504,3161,NA
501905,"Thunnus","Tunas",3,36,6,60,416,8961,NA
501940,"Sardinella","Sardinellas",1,35,6,28,43,3475,NA
501941,"Harengula","False herrings",1,35,6,28,43,6654,NA
501944,"Pellona","Ilishas",1,35,6,28,43,4206,NA
501945,"Dussumieria","Rainbow sardines",1,35,6,28,43,7125,NA
502004,"Seriolella","Warehous, butterfishes",14,34,6,60,421,7032,NA
502057,"Saurida","Lizardfishes",5,33,6,39,160,8444,NA
502095,"Spratelloides","Round herrings",16,35,6,28,43,573,NA
502100,"Carangoides","Trevallies",17,37,6,60,314,6620,NA
502102,"Decapterus","Scads",2,37,6,60,314,10590,NA
502124,"Pristipomoides","Jobfishes",5,33,6,60,323,2976,NA
502224,"Porichthys","Midshipman",18,33,6,46,189,5331,NA
502364,"Paralabrax","Sand basses",14,33,6,60,289,5586,NA
502403,"Eucinostomus","Mojarras",4,33,6,60,326,722,NA
502417,"Genypterus","Genypterid cuskeels",12,34,6,45,186,3282,NA
502582,"Hyporhamphus","Sea garfishes",17,39,6,51,475,2029,NA
502617,"Hyperoglyphe","Warehous, barrelfishes",2,34,6,60,421,1685,NA
502666,"Macolor","Snappers",17,33,6,60,323,1617,NA
502682,"Dicentrarchus","Seabasses",6,33,6,60,487,3216,NA
502724,"Oncorhynchus","Salmons, trouts",15,23,6,36,76,2445,NA
502730,"Pontinus","Rock/scorpionfishes",18,34,6,59,264,7466,NA
502790,"Menticirrhus","Kingcroakers",5,33,6,60,331,1467,NA
502794,"Cynoscion","Weakfishes",5,33,6,60,331,5172,NA
